# elotto v3 mode=649 focus=on items=5005/5005 blocks=49 paused_ms=0
order,item,n1,n2,n3,n4,n5,n6,e1,e2,z_raw,block
1,3039,5,22,26,27,29,35,0,0,-2.612704,0
2,548,4,5,22,27,35,41,0,0,-3.247799,0
3,154,4,5,8,26,30,41,0,0,-2.211942,0
4,601,4,5,26,27,35,36,0,0,-3.880232,0
5,3649,8,19,22,27,29,35,0,0,-4.240784,0
6,4605,19,22,27,29,35,36,0,0,-2.339759,0
7,1722,4,19,29,30,36,41,0,0,-4.820759,0
8,3583,8,17,27,36,39,41,0,0,-2.935977,0
9,2726,5,17,26,29,30,39,0,0,-2.482756,0
10,4134,17,19,22,29,30,39,0,0,-2.889643,0
11,3931,8,22,29,35,36,38,0,0,-1.486842,0
12,1276,4,17,19,27,29,35,0,0,-2.252417,0
13,1384,4,17,22,29,30,41,0,0,-2.498467,0
14,4117,17,19,22,27,30,36,0,0,-0.832041,0
15,4730,19,26,30,35,39,41,0,0,-2.744516,0
16,3783,8,19,27,30,38,41,0,0,-1.635164,0
17,1667,4,19,26,30,36,41,0,0,-0.773192,0
18,4714,19,26,29,30,39,41,0,0,-1.300175,0
19,2507,5,17,19,22,27,30,0,0,-2.700845,0
20,1872,4,22,35,36,38,39,0,0,-2.664630,0
21,2968,5,19,27,29,30,35,0,0,-2.480359,0
22,2557,5,17,19,26,36,39,0,0,-2.422042,0
23,1182,4,8,29,30,36,41,0,0,-2.102231,0
24,1353,4,17,22,26,36,38,0,0,-0.805413,0
25,3806,8,19,29,35,36,39,0,0,0.148695,0
26,19,4,5,8,17,22,41,0,0,-2.562642,0
27,2800,5,17,29,30,38,39,0,0,-1.632234,0
28,1601,4,19,22,29,36,41,0,0,-2.217534,0
29,3935,8,22,29,35,38,41,0,0,-0.941752,0
30,3726,8,19,26,29,30,36,0,0,-3.354847,0
31,3422,8,17,22,26,29,41,0,0,-1.658065,0
32,4699,19,26,27,35,38,41,0,0,-2.481158,0
33,299,4,5,17,22,38,39,0,0,-1.901451,0
34,653,4,5,27,29,35,39,0,0,-1.360622,0
35,3423,8,17,22,26,30,35,0,0,-3.773184,0
36,1188,4,8,29,35,36,41,0,0,-2.626285,0
37,2298,5,8,22,26,29,38,0,0,-2.649718,0
38,1538,4,17,35,36,39,41,0,0,-2.977784,0
39,2283,5,8,19,35,39,41,0,0,-2.734131,0
40,4289,17,19,35,36,39,41,0,0,-2.412190,0
41,3930,8,22,29,30,39,41,0,0,-2.357068,0
42,3802,8,19,29,30,38,39,0,0,-1.267421,0
43,4325,17,22,26,29,38,39,0,0,-0.928703,0
44,3469,8,17,22,29,36,39,0,0,-1.051462,0
45,2342,5,8,22,29,35,36,0,0,-2.957813,0
46,3980,8,26,27,30,39,41,0,0,-2.279313,0
47,416,4,5,19,22,36,38,0,0,-1.369675,0
48,1471,4,17,27,29,30,35,0,0,-0.458706,0
49,1093,4,8,26,27,30,38,0,0,-1.526784,0
50,1431,4,17,26,27,36,39,0,0,-2.205551,0
51,4068,8,29,30,36,38,41,0,0,-2.008232,0
52,3962,8,26,27,29,35,38,0,0,-1.148390,0
53,1483,4,17,27,29,38,39,0,0,-2.376507,0
54,1545,4,19,22,26,27,38,0,0,-3.268836,0
55,2806,5,17,29,35,38,39,0,0,-1.709990,0
56,4862,22,26,35,36,38,41,0,0,-2.450003,0
57,3794,8,19,27,38,39,41,0,0,-2.119540,0
58,756,4,8,17,19,36,39,0,0,-1.516666,0
59,2685,5,17,22,30,35,41,0,0,-0.660552,0
60,326,4,5,17,26,36,41,0,0,-1.461810,0
61,3780,8,19,27,30,36,39,0,0,-3.210519,0
62,174,4,5,8,27,30,39,0,0,-2.885915,0
63,433,4,5,19,26,29,39,0,0,-2.493940,0
64,1683,4,19,27,29,30,38,0,0,-0.851214,0
65,2511,5,17,19,22,27,39,0,0,-1.639425,0
66,2563,5,17,19,27,29,35,0,0,-0.850149,0
67,538,4,5,22,27,29,39,0,0,-2.505657,0
68,1238,4,17,19,22,35,38,0,0,-1.026697,0
69,1463,4,17,26,35,36,41,0,0,-1.856714,0
70,10,4,5,8,17,19,41,0,0,-0.701028,0
71,1496,4,17,27,35,36,38,0,0,-1.770172,0
72,1473,4,17,27,29,30,38,0,0,-1.976544,0
73,3188,5,26,27,30,39,41,0,0,-2.556784,0
74,2783,5,17,27,35,36,38,0,0,-1.081552,0
75,3595,8,17,29,35,36,38,0,0,-0.969712,0
76,4619,19,22,27,30,36,38,0,0,-1.194725,0
77,2939,5,19,26,29,35,38,0,0,-2.715225,0
78,577,4,5,22,30,38,39,0,0,0.089579,0
79,84,4,5,8,19,29,39,0,0,-0.800353,0
80,1726,4,19,29,35,36,38,0,0,-2.018085,0
81,769,4,8,17,22,27,29,0,0,-0.055814,0
82,2255,5,8,19,29,30,38,0,0,-3.437396,0
83,1591,4,19,22,29,30,36,0,0,-3.239012,0
84,1703,4,19,27,30,38,39,0,0,-2.428700,0
85,2817,5,17,30,35,38,41,0,0,-2.556518,0
86,4017,8,26,30,36,38,39,0,0,-2.946362,0
87,4252,17,19,27,35,39,41,0,0,-3.056605,0
88,3804,8,19,29,30,39,41,0,0,-1.462876,0
89,1122,4,8,26,30,35,38,0,0,-3.367096,0
90,2124,5,8,17,27,35,38,0,0,-0.725793,0
91,2414,5,8,26,30,36,41,0,0,-0.636054,0
92,3214,5,26,29,35,39,41,0,0,-1.833281,0
93,3592,8,17,29,30,38,39,0,0,-3.548437,0
94,1074,4,8,22,30,39,41,0,0,-1.793870,0
95,2739,5,17,26,30,35,38,0,0,-2.112084,0
96,1301,4,17,19,29,35,36,0,0,-0.636852,0
97,931,4,8,19,26,30,36,0,0,-2.583413,0
98,4807,22,26,27,29,36,41,0,0,-1.211234,0
99,3468,8,17,22,29,36,38,0,0,-3.756674,0
100,3282,5,29,35,38,39,41,0,0,-2.567701,0
101,4251,17,19,27,35,38,41,0,0,-0.292277,0
102,53,4,5,8,17,38,39,0,0,-2.453465,0
103,129,4,5,8,22,35,39,0,0,-4.085806,0
104,3516,8,17,26,29,30,36,0,0,-1.953111,1
105,4166,17,19,26,27,29,30,0,0,-3.442988,1
106,3807,8,19,29,35,36,41,0,0,-2.199959,1
107,61,4,5,8,19,22,36,0,0,-2.738392,1
108,3694,8,19,22,35,36,38,0,0,-1.316151,1
109,2216,5,8,19,26,29,41,0,0,-2.141908,1
110,2962,5,19,26,35,38,41,0,0,-2.745582,1
111,1091,4,8,26,27,30,35,0,0,-1.283665,1
112,785,4,8,17,22,30,39,0,0,-1.634631,1
113,4538,17,30,35,36,38,39,0,0,-1.493499,1
114,4411,17,22,30,36,39,41,0,0,-0.778784,1
115,4337,17,22,26,30,39,41,0,0,-2.856623,1
116,4316,17,22,26,29,30,39,0,0,-1.831684,1
117,2965,5,19,26,36,38,41,0,0,0.347878,1
118,3879,8,22,26,35,38,39,0,0,-2.207149,1
119,4944,26,27,30,35,36,41,0,0,0.622420,1
120,3847,8,22,26,27,36,41,0,0,-1.902516,1
121,2222,5,8,19,26,35,36,0,0,-0.426486,1
122,1015,4,8,22,26,30,36,0,0,-3.572670,1
123,4926,26,27,29,30,36,38,0,0,-0.758280,1
124,2580,5,17,19,27,38,39,0,0,-1.737684,1
125,1698,4,19,27,30,35,39,0,0,-1.584835,1
126,3951,8,22,35,36,38,39,0,0,1.001080,1
127,1154,4,8,27,29,38,41,0,0,-1.808783,1
128,688,4,5,29,30,38,39,0,0,-0.390537,1
129,1494,4,17,27,30,38,41,0,0,-0.346333,1
130,2468,5,8,29,30,36,39,0,0,-2.897632,1
131,2625,5,17,22,26,29,30,0,0,-1.984000,1
132,4126,17,19,22,27,36,39,0,0,-2.992430,1
133,123,4,5,8,22,30,36,0,0,-2.896566,1
134,674,4,5,27,35,38,39,0,0,-2.211143,1
135,605,4,5,26,27,36,38,0,0,-3.522608,1
136,503,4,5,19,36,38,41,0,0,-3.258717,1
137,4977,26,35,36,38,39,41,0,0,-2.582613,1
138,2077,5,8,17,22,35,41,0,0,-1.098062,1
139,4723,19,26,29,36,39,41,0,0,0.045641,1
140,3194,5,26,27,35,39,41,0,0,-0.939887,1
141,2723,5,17,26,29,30,35,0,0,-2.053768,1
142,1406,4,17,22,35,36,39,0,0,-3.732974,1
143,632,4,5,26,30,36,41,0,0,-2.273188,1
144,2633,5,17,22,26,30,38,0,0,-2.398343,1
145,836,4,8,17,27,35,36,0,0,-0.079779,1
146,4062,8,29,30,35,36,39,0,0,-1.055989,1
147,3712,8,19,26,27,30,38,0,0,-2.281443,1
148,3766,8,19,27,29,35,38,0,0,-2.412722,1
149,4844,22,26,29,35,38,39,0,0,-0.710082,1
150,2113,5,8,17,27,29,35,0,0,-0.759878,1
151,3261,5,27,30,36,38,41,0,0,-2.510184,1
152,4470,17,26,29,36,38,41,0,0,-1.216560,1
153,1254,4,17,19,26,29,30,0,0,-3.023320,1
154,1131,4,8,26,35,36,38,0,0,-1.483647,1
155,1461,4,17,26,35,36,38,0,0,-3.079505,1
156,3869,8,22,26,30,35,41,0,0,-2.855025,1
157,3974,8,26,27,30,35,41,0,0,-3.680783,1
158,3940,8,22,29,38,39,41,0,0,-0.703691,1
159,2874,5,19,22,27,38,39,0,0,-2.829462,1
160,4043,8,27,29,36,38,41,0,0,-0.944681,1
161,4937,26,27,29,35,39,41,0,0,-1.781622,1
162,4436,17,26,27,30,35,41,0,0,-0.879174,1
163,3798,8,19,29,30,35,41,0,0,-2.687531,1
164,3621,8,19,22,26,27,30,0,0,-2.079597,1
165,2127,5,8,17,27,36,38,0,0,-1.263427,1
166,3298,8,17,19,22,27,29,0,0,-0.511165,1
167,2776,5,17,27,30,35,41,0,0,-2.012492,1
168,2020,5,8,17,19,27,29,0,0,-0.869321,1
169,4680,19,26,27,29,36,39,0,0,-2.251885,1
170,4361,17,22,27,29,38,41,0,0,-3.462427,1
171,1290,4,17,19,27,36,38,0,0,-3.796884,1
172,2090,5,8,17,26,27,41,0,0,-3.525004,1
173,4677,19,26,27,29,35,39,0,0,-2.856357,1
174,286,4,5,17,22,29,41,0,0,-0.550576,1
175,2297,5,8,22,26,29,36,0,0,-0.361245,1
176,3957,8,26,27,29,30,36,0,0,-0.396928,1
177,2517,5,17,19,22,29,39,0,0,-2.253482,1
178,1618,4,19,22,35,38,39,0,0,-3.720193,1
179,1924,4,26,29,35,36,41,0,0,-1.830352,1
180,827,4,8,17,27,29,36,0,0,-3.266972,1
181,3330,8,17,19,26,27,38,0,0,-0.437403,1
182,4194,17,19,26,29,35,39,0,0,-4.172881,1
183,3124,5,22,27,35,39,41,0,0,-2.191172,1
184,2140,5,8,17,29,35,39,0,0,-2.271590,1
185,285,4,5,17,22,29,39,0,0,-3.239012,1
186,1885,4,26,27,29,35,41,0,0,-0.813135,1
187,2346,5,8,22,29,36,38,0,0,-1.820499,1
188,2996,5,19,27,35,38,39,0,0,-3.248865,1
189,4481,17,26,30,36,39,41,0,0,-4.317209,1
190,4346,17,22,26,36,39,41,0,0,-2.574092,1
191,1197,4,8,30,35,36,39,0,0,-3.606755,1
