# elotto v3 mode=649 focus=on items=3404/5005 blocks=33 paused_ms=0
order,item,n1,n2,n3,n4,n5,n6,e1,e2,z_raw,block
1,3665,8,10,11,19,36,45,0,0,-0.548205,0
2,2529,6,9,10,11,36,44,0,0,-0.458200,0
3,3901,8,11,19,25,28,36,0,0,0.892941,0
4,502,5,6,10,36,42,44,0,0,-1.163595,0
5,2579,6,9,10,19,36,45,0,0,-2.079358,0
6,951,5,8,10,19,25,28,0,0,-1.625337,0
7,2225,6,8,10,13,28,45,0,0,1.313675,0
8,4915,11,21,36,42,44,45,0,0,0.321489,0
9,1470,5,9,13,42,44,45,0,0,0.910516,0
10,2105,6,8,9,13,28,45,0,0,-0.363669,0
11,2421,6,8,13,28,42,44,0,0,0.357171,0
12,4892,11,19,25,36,42,44,0,0,0.500966,0
13,2874,6,10,11,19,42,44,0,0,1.131002,0
14,4413,9,11,28,36,42,44,0,0,-1.174247,0
15,1692,5,10,19,21,36,45,0,0,-1.110604,0
16,3239,6,19,21,25,36,44,0,0,-0.441691,0
17,2661,6,9,11,19,36,42,0,0,-0.984916,0
18,4742,10,19,21,25,28,44,0,0,-0.617174,0
19,1863,5,11,25,28,36,44,0,0,-0.622500,0
20,249,5,6,9,10,21,44,0,0,-1.502845,0
21,3010,6,10,21,25,42,44,0,0,0.441850,0
22,2289,6,8,11,13,19,25,0,0,-0.875207,0
23,1517,5,9,21,28,36,44,0,0,-0.214015,0
24,3354,8,9,10,19,21,25,0,0,0.574195,0
25,3876,8,11,13,28,36,42,0,0,-0.062764,0
26,3523,8,9,13,21,28,45,0,0,-0.959619,0
27,2106,6,8,9,13,36,42,0,0,-0.258751,0
28,560,5,6,11,21,28,36,0,0,-1.085573,0
29,4907,11,21,25,36,42,44,0,0,1.057773,0
30,2499,6,9,10,11,13,21,0,0,-0.791326,0
31,3758,8,10,13,36,44,45,0,0,-0.978792,0
32,4190,9,10,13,21,25,44,0,0,-0.757241,0
33,3554,8,9,19,21,25,45,0,0,0.931287,0
34,4777,10,21,25,28,36,45,0,0,-0.196440,0
35,4913,11,21,28,36,44,45,0,0,-0.592942,0
36,4495,9,19,21,25,42,44,0,0,-0.424382,0
37,1674,5,10,13,28,42,44,0,0,0.232282,0
38,4436,9,13,19,25,28,45,0,0,-0.582824,0
39,3087,6,11,13,28,42,44,0,0,1.212486,0
40,1121,5,8,13,25,28,36,0,0,0.369686,0
41,3442,8,9,11,19,21,44,0,0,-0.853637,0
42,438,5,6,10,13,25,44,0,0,-0.955891,0
43,2426,6,8,13,36,44,45,0,0,0.265035,0
44,1158,5,8,19,25,28,44,0,0,-1.248541,0
45,2556,6,9,10,13,36,42,0,0,0.053870,0
46,473,5,6,10,21,25,42,0,0,-0.372190,0
47,689,5,6,21,25,42,45,0,0,-0.912753,0
48,4016,8,13,25,28,44,45,0,0,0.850602,0
49,247,5,6,9,10,21,36,0,0,1.165087,0
50,1794,5,11,13,25,42,44,0,0,-1.664482,0
51,40,5,6,8,9,21,45,0,0,0.205920,0
52,76,5,6,8,10,19,36,0,0,-0.413731,0
53,3115,6,11,19,25,36,45,0,0,-1.913194,0
54,4104,9,10,11,13,36,42,0,0,-0.751649,0
55,1699,5,10,19,25,28,45,0,0,-0.553532,0
56,758,5,8,9,10,42,44,0,0,0.919303,0
57,2204,6,8,10,13,19,21,0,0,-0.866153,0
58,3660,8,10,11,19,28,42,0,0,-0.852572,0
59,3368,8,9,10,19,28,45,0,0,-1.510302,0
60,1228,5,9,10,11,21,36,0,0,2.239023,0
61,4596,10,11,13,36,42,44,0,0,-0.456070,0
62,3436,8,9,11,13,42,45,0,0,0.728642,0
63,4912,11,21,28,36,42,45,0,0,1.415130,0
64,4164,9,10,11,36,44,45,0,0,-2.644952,0
65,518,5,6,11,13,21,45,0,0,-1.609361,0
66,4354,9,11,19,21,28,42,0,0,0.751543,0
67,3743,8,10,13,25,28,45,0,0,-0.699457,0
68,3287,6,25,28,42,44,45,0,0,-0.659780,0
69,1392,5,9,11,21,42,44,0,0,-0.120282,0
70,2870,6,10,11,19,28,45,0,0,0.421613,0
71,4967,13,21,28,36,42,44,0,0,0.815718,0
72,596,5,6,13,19,25,28,0,0,0.293529,0
73,4386,9,11,21,25,28,45,0,0,-1.216587,0
74,2916,6,10,13,19,21,44,0,0,0.015525,0
75,605,5,6,13,19,36,42,0,0,-1.185431,0
76,2110,6,8,9,13,42,45,0,0,-0.577763,0
77,269,5,6,9,11,13,28,0,0,-0.466189,0
78,1287,5,9,10,19,28,42,0,0,-0.786799,0
79,3566,8,9,19,25,28,42,0,0,-0.167148,0
80,4468,9,13,21,28,44,45,0,0,2.031852,0
81,3402,8,9,10,28,36,45,0,0,-1.051489,0
82,3195,6,13,19,36,42,44,0,0,-2.407157,0
83,4222,9,10,19,21,25,28,0,0,-0.683214,0
84,481,5,6,10,21,36,44,0,0,-0.678154,0
85,807,5,8,9,13,21,42,0,0,0.093546,0
86,1371,5,9,11,19,28,42,0,0,0.050408,0
87,1607,5,10,11,25,28,44,0,0,-2.179482,0
88,1658,5,10,13,21,42,44,0,0,0.785627,0
89,4858,11,13,25,36,42,45,0,0,-0.679752,0
90,123,5,6,8,11,25,36,0,0,-1.289283,0
91,2971,6,10,19,21,25,44,0,0,-0.375385,0
92,2543,6,9,10,13,21,36,0,0,0.071711,0
93,3286,6,25,28,36,44,45,0,0,-3.807562,0
94,3551,8,9,19,21,25,36,0,0,0.575527,0
95,1080,5,8,11,28,44,45,0,0,-0.443022,0
96,2027,6,8,9,10,21,25,0,0,-0.985982,0
97,4698,10,13,19,28,42,44,0,0,-1.168921,0
98,475,5,6,10,21,25,45,0,0,-1.476749,0
99,1714,5,10,19,36,44,45,0,0,-0.863223,0
100,4917,11,25,28,36,42,45,0,0,-0.844317,0
101,1068,5,8,11,25,28,45,0,0,1.201302,0
102,4259,9,10,21,25,28,44,0,0,-0.099245,0
103,1945,5,13,28,42,44,45,0,0,-0.352484,0
