# elotto v3 mode=649 focus=on items=462/462 blocks=5 paused_ms=0 pass_mean=-0,124053 pass_sigma=1,363510
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;block
1;207;4;18;26;32;34;42;0;0;-0,958874;0
2;279;8;10;18;32;34;43;0;0;1,549020;0
3;317;8;10;29;42;43;46;0;0;-0,472633;0
4;315;8;10;29;34;42;46;0;0;0,385877;0
5;3;4;8;10;18;26;34;0;0;0,039171;0
6;129;4;10;18;26;29;42;0;0;0,151278;0
7;363;8;26;29;32;43;46;0;0;-0,891770;0
8;392;10;18;26;32;42;43;0;0;0,943216;0
9;384;10;18;26;29;34;43;0;0;-1,650954;0
10;86;4;8;18;32;42;46;0;0;-2,345431;0
11;5;4;8;10;18;26;43;0;0;-0,889107;0
12;141;4;10;18;26;43;46;0;0;-1,634977;0
13;95;4;8;26;29;32;46;0;0;-1,193739;0
14;91;4;8;18;42;43;46;0;0;-0,862478;0
15;83;4;8;18;32;34;43;0;0;-1,486123;0
16;190;4;10;29;34;43;46;0;0;0,126513;0
17;282;8;10;18;32;42;46;0;0;-1,357772;0
18;192;4;10;32;34;42;43;0;0;0,434874;0
19;127;4;10;18;26;29;32;0;0;-1,576926;0
20;278;8;10;18;32;34;42;0;0;-1,959049;0
21;179;4;10;26;34;42;46;0;0;-1,573731;0
22;449;18;26;34;42;43;46;0;0;-1,757469;0
23;184;4;10;29;32;34;46;0;0;-0,516038;0
24;421;10;26;29;34;42;46;0;0;-0,955945;0
25;85;4;8;18;32;42;43;0;0;-0,791645;0
26;340;8;18;26;34;42;46;0;0;-1,564678;0
27;196;4;10;34;42;43;46;0;0;0,854543;0
28;128;4;10;18;26;29;34;0;0;0,570148;0
29;371;8;26;32;42;43;46;0;0;-1,274158;0
30;272;8;10;18;29;34;42;0;0;-1,250458;0
31;62;4;8;18;26;32;34;0;0;1,223883;0
32;232;4;26;29;32;34;42;0;0;0,458307;0
33;370;8;26;32;34;43;46;0;0;0,348064;0
34;115;4;8;29;32;42;43;0;0;0,116661;0
35;275;8;10;18;29;42;43;0;0;0,600771;0
36;181;4;10;26;42;43;46;0;0;0,321435;0
37;33;4;8;10;26;34;46;0;0;-2,163824;0
38;368;8;26;32;34;42;43;0;0;-0,985769;0
39;436;18;26;29;32;34;43;0;0;1,557807;0
40;268;8;10;18;29;32;34;0;0;-0,348543;0
41;407;10;18;29;34;43;46;0;0;-0,021277;0
42;458;26;29;32;34;43;46;0;0;0,100683;0
43;169;4;10;26;29;42;43;0;0;-0,087315;0
44;430;10;29;32;34;42;46;0;0;-0,338158;0
45;177;4;10;26;32;43;46;0;0;-0,513109;0
46;101;4;8;26;29;43;46;0;0;-0,409257;0
47;138;4;10;18;26;34;46;0;0;-0,219394;0
48;325;8;18;26;29;32;43;0;0;-0,378900;0
49;51;4;8;10;32;42;46;0;0;0,141425;0
50;20;4;8;10;18;42;46;0;0;-1,116516;0
51;440;18;26;29;32;43;46;0;0;-0,334696;0
52;257;8;10;18;26;29;46;0;0;-0,511245;0
53;355;8;18;32;34;43;46;0;0;0,044497;0
54;122;4;8;32;34;42;43;0;0;-0,016750;0
55;319;8;10;32;34;42;46;0;0;1,140003;0
56;295;8;10;26;29;42;43;0;0;-2,127875;0
57;131;4;10;18;26;29;46;0;0;0,996207;0
58;9;4;8;10;18;29;42;0;0;-2,059971;0
59;130;4;10;18;26;29;43;0;0;-0,386090;0
60;108;4;8;26;34;42;43;0;0;-1,789956;0
61;230;4;18;32;42;43;46;0;0;-0,482486;0
62;156;4;10;18;32;42;46;0;0;0,285220;0
63;146;4;10;18;29;34;42;0;0;-1,359903;0
64;444;18;26;29;42;43;46;0;0;0,842826;0
65;366;8;26;29;34;43;46;0;0;-0,246023;0
66;24;4;8;10;26;29;42;0;0;-0,781260;0
67;82;4;8;18;32;34;42;0;0;-0,517636;0
68;69;4;8;18;26;42;43;0;0;-1,265637;0
69;359;8;26;29;32;34;43;0;0;0,901409;0
70;433;10;29;34;42;43;46;0;0;-0,971656;0
71;391;10;18;26;32;34;46;0;0;-0,570894;0
72;200;4;18;26;29;32;46;0;0;0,390137;0
