# elotto v3 mode=649 focus=on items=462/462 blocks=5 paused_ms=0 pass_mean=-0,124053 pass_sigma=1,363510
group;rank;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_std;block
high;1;201;4;18;26;29;34;42;0;0;3,655405;2,7719;3
high;2;367;8;26;29;42;43;46;0;0;3,415747;2,5961;3
high;3;337;8;18;26;32;42;46;0;0;3,344382;2,5438;3
high;4;459;26;29;32;42;43;46;0;0;3,314238;2,5216;0
high;5;67;4;8;18;26;34;43;0;0;3,262632;2,4838;3
low;1;311;8;10;29;32;42;43;0;0;-3,369866;-2,3805;1
low;2;47;4;8;10;32;34;42;0;0;-3,205832;-2,2602;1
low;3;45;4;8;10;29;42;46;0;0;-3,178458;-2,2401;2
low;4;228;4;18;32;34;42;46;0;0;-2,861257;-2,0075;1
low;5;73;4;8;18;29;32;42;0;0;-2,783501;-1,9504;1
zero;1;305;8;10;26;34;42;46;0;0;-0,120149;0,0029;2
zero;2;387;10;18;26;29;42;46;0;0;-0,118764;0,0039;1
zero;3;251;4;29;34;42;43;46;0;0;-0,118019;0,0044;2
zero;4;194;4;10;32;34;43;46;0;0;-0,117166;0,0051;1
zero;5;29;4;8;10;26;32;43;0;0;-0,114769;0,0068;1
