# elotto v3 mode=649 focus=off score=high items=407/420 ranked=323 excl=84 void=0 blocks=4 paused_ms=0 pass_mean=-0,087758 pass_sigma=1,013669 pass_chi2=333,3502 pass_stouffer=-1,5772 v_eff=1,0560 null_flags=0 drift_t=0.00 unlimited=on runs_cap=100 rounds=5 run_s=1,00 run_segs=26087 gap_s=0,50
# nodes=master,192.168.178.145,192.168.178.155,192.168.178.103
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round
1;29;1;4;23;25;33;38;0;0;-0,355141;-0,2958;0;4;0;-2,084790;0,112864;1,257529;0,004115;1
2;6;1;4;16;23;25;33;0;0;-0,820082;-0,7607;0;4;0;0,268807;0,049821;-2,748315;0,789523;1
3;84;23;24;25;31;33;38;0;0;-0,213295;-0,1539;0;4;0;-1,341411;-0,294287;1,125314;0,083794;1
4;32;1;4;24;25;31;38;0;0;-0,627013;-0,5677;0;4;0;0,979790;-1,064810;0,304882;-1,473888;1
5;37;1;16;23;24;25;33;0;0;-1,630444;-1,5711;0;4;0;0,258300;-1,162877;-2,855138;0,498826;1
6;67;4;16;24;25;31;33;0;0;0,060767;0,1201;0;4;0;-0,401898;-0,624386;0,099993;1,047824;1
7;71;4;16;25;31;33;38;0;0;-1,500419;-1,4411;0;4;0;-0,437797;-1,787176;0,715536;-1,491400;1
8;65;4;16;23;25;33;38;0;0;0,247268;0,3066;0;4;0;-0,274061;-0,071011;-0,202087;1,041695;1
9;74;4;23;24;25;33;38;0;0;-0,926466;-0,8671;0;4;0;1,581323;-0,529822;-1,181002;-1,723432;1
10;52;1;23;24;25;31;38;0;0;-0,392354;-0,3330;0;4;0;-0,493835;0,747670;-0,755463;-0,283080;1
11;49;1;16;24;31;33;38;0;0;-1,082760;-1,0234;0;4;0;-1,804600;1,368466;-0,904314;-0,825073;1
12;9;1;4;16;23;31;38;0;0;-1,117346;-1,0580;0;4;0;-1,704782;-2,095385;1,277667;0,287808;1
13;82;16;23;25;31;33;38;0;0;-0,707130;-0,6478;0;4;0;0,028019;0,280103;-1,253676;-0,468706;1
14;63;4;16;23;25;31;33;0;0;0,470544;0,5299;0;4;0;0,403649;2,264199;-1,075930;-0,650829;1
15;57;4;16;23;24;25;31;0;0;0,677622;0,7370;0;4;0;0,338855;-0,092901;0,988721;0,120569;1
16;39;1;16;23;24;31;33;0;0;-1,067437;-1,0081;0;4;0;-0,936886;0,961315;-1,963783;-0,195520;1
17;5;1;4;16;23;25;31;0;0;0,829538;0,8889;0;4;0;-0,535864;1,772991;0,338155;0,083794;1
18;15;1;4;16;24;31;38;0;0;-1,655837;-1,5965;0;4;0;-1,307262;-1,510488;-0,658272;0,164349;1
19;40;1;16;23;24;31;38;0;0;1,953801;2,0132;0;4;0;1,782710;0,320380;0,613091;1,191421;1
20;44;1;16;23;25;33;38;0;0;0,629027;0,6884;0;4;0;0,978039;0,534025;-1,378886;1,124876;1
21;62;4;16;23;24;33;38;0;0;-0,432631;-0,3733;0;4;0;-0,277563;0,041065;-0,074250;-0,554514;1
22;50;1;16;25;31;33;38;0;0;-0,647589;-0,5882;0;4;0;0,146224;-0,704065;-0,943716;0,206378;1
23;35;1;4;25;31;33;38;0;0;0,021802;0,0812;0;4;0;-0,869465;0,275725;0,289997;0,347348;1
24;75;4;23;24;31;33;38;0;0;1,134683;1,1940;0;4;0;-0,241664;1,376347;0,209442;0,925241;1
25;34;1;4;24;31;33;38;0;0;-0,144998;-0,0856;0;4;0;-0,124334;-0,674295;1,414260;-0,905627;1
26;60;4;16;23;24;31;33;0;0;-0,917711;-0,8584;0;4;0;-2,316823;1,666168;-0,757214;-0,427553;1
27;4;1;4;16;23;24;38;0;0;-1,102461;-1,0431;0;4;0;-0,950895;0,203926;-1,557507;0,099555;1
28;30;1;4;23;31;33;38;0;0;1,120673;1,1800;0;4;0;0,207516;-0,703190;0,819731;1,917289;1
29;23;1;4;23;24;25;38;0;0;0,711332;0,7707;0;4;0;0,267932;0,289734;1,070151;-0,205152;1
30;8;1;4;16;23;31;33;0;0;-0,300416;-0,2411;0;4;0;-2,674065;1,296668;1,461542;-0,684977;1
31;28;1;4;23;25;31;38;0;0;1,362337;1,4217;0;4;0;-0,073550;2,302725;-0,223977;0,719476;1
32;16;1;4;16;24;33;38;0;0;1,255953;1,3153;0;4;0;-0,030646;1,114544;0,751435;0,676572;1
33;3;1;4;16;23;24;33;0;0;-1,368642;-1,3093;0;4;0;-0,587524;-0,321431;-1,189758;-0,638571;1
34;66;4;16;23;31;33;38;0;0;-0,079766;-0,0204;0;4;0;-0,963154;0,452595;0,194557;0,156469;1
35;61;4;16;23;24;31;38;0;0;-1,002643;-0,9433;0;4;0;-0,517476;0,672369;-1,521608;-0,638571;1
36;38;1;16;23;24;25;38;0;0;-0,049121;0,0102;0;4;0;-1,048086;0,256462;0,747057;-0,053674;1
37;77;4;24;25;31;33;38;0;0;0,269595;0,3289;0;4;0;0,151478;1,387729;-1,340360;0,340344;1
38;17;1;4;16;25;31;33;0;0;0,530961;0,5903;0;4;0;0,308209;0,180285;0,730421;-0,156994;1
39;42;1;16;23;25;31;33;0;0;0,236761;0,2961;0;4;0;-0,202262;1,012099;-0,672281;0,335966;1
40;13;1;4;16;24;25;38;0;0;-1,344563;-1,2852;0;4;0;-1,227583;-0,818768;0,016811;-0,659585;1
41;58;4;16;23;24;25;33;0;0;-0,074951;-0,0156;0;4;0;-1,195186;-1,561272;1,095544;1,511013;1
42;81;16;23;24;31;33;38;0;0;0,441212;0,5006;0;4;0;0,401898;0,248581;-0,027844;0,259789;1
43;36;1;16;23;24;25;31;0;0;0,883387;0,9427;0;4;0;0,246918;1,759857;0,797842;-1,037842;1
44;45;1;16;23;31;33;38;0;0;0,368976;0,4283;0;4;0;-0,394017;0,681125;-0,130288;0,581132;1
45;53;1;23;24;25;33;38;0;0;-0,895383;-0,8360;0;4;0;-0,563007;-0,200599;-1,615296;0,588137;1
46;54;1;23;24;31;33;38;0;0;-0,542518;-0,4832;0;4;0;-0,098067;-1,197901;-0,463014;0,673945;1
47;12;1;4;16;24;25;33;0;0;-0,631829;-0,5725;0;4;0;-1,316018;0,324758;-1,337733;1,065336;1
48;43;1;16;23;25;31;38;0;0;0,157958;0,2173;0;4;0;-0,198760;0,076089;0,059716;0,378870;1
49;10;1;4;16;23;33;38;0;0;-0,447954;-0,3886;0;4;0;0,456185;0,964817;-0,482277;-1,834633;1
50;83;16;24;25;31;33;38;0;0;-1,014463;-0,9551;0;4;0;0,170741;0,834354;-1,865716;-1,168305;1
51;64;4;16;23;25;31;38;0;0;-0,665539;-0,6062;0;4;0;-0,416783;-1,184767;0,399446;-0,128975;1
52;25;1;4;23;24;31;38;0;0;-1,274515;-1,2152;0;4;0;-1,878150;-0,568348;-0,639009;0,536477;1
53;78;16;23;24;25;31;33;0;0;-0,136243;-0,0769;0;4;0;-1,917552;1,192472;0,317140;0,135454;1
54;2;1;4;16;23;24;31;0;0;-0,422124;-0,3628;0;4;0;-0,770523;0,440336;-0,438498;-0,075564;1
55;14;1;4;16;24;31;33;0;0;-0,574478;-0,5151;0;4;0;0,123459;-0,436134;-0,864912;0,028632;1
56;26;1;4;23;24;33;38;0;0;0,631216;0,6906;0;4;0;0,408027;0,193419;1,404628;-0,743642;1
57;80;16;23;24;25;33;38;0;0;0,559855;0,6192;0;4;0;0,355491;0,776565;0,549173;-0,561519;1
58;46;1;16;24;25;31;33;0;0;0,425889;0,4852;0;4;0;-0,093689;0,902650;0,285619;-0,242802;1
59;20;1;4;16;31;33;38;0;0;-0,255323;-0,1960;0;4;0;-0,618170;-1,034164;0,503642;0,638046;1
60;55;1;23;25;31;33;38;0;0;1,078207;1,1376;0;4;0;0,478950;1,842163;0,100868;-0,265568;1
61;69;4;16;24;25;33;38;0;0;0,817280;0,8766;0;4;0;0,966656;-1,363388;1,810904;0,220387;1
62;19;1;4;16;25;33;38;0;0;-2,025775;-1,9664;0;4;0;-0,802044;-0,825773;-1,439302;-0,984431;1
63;27;1;4;23;25;31;33;0;0;0,693383;0,7527;0;4;0;0,010507;1,925344;0,794339;-1,343424;1
64;21;1;4;23;24;25;31;0;0;2,029978;2,0893;0;4;0;0,097191;1,493676;0,415207;2,053882;1
65;76;4;23;25;31;33;38;0;0;0,649604;0,7090;0;4;0;1,494640;0,349275;-0,560205;0,015498;1
66;56;1;24;25;31;33;38;0;0;0,697761;0,7571;0;4;0;0,438673;0,619833;-0,497162;0,834179;1
67;48;1;16;24;25;33;38;0;0;-1,155434;-1,0961;0;4;0;-1,011311;1,164453;-0,866663;-1,597347;1
68;41;1;16;23;24;33;38;0;0;0,055951;0,1153;0;4;0;0,381759;0,551537;0,052711;-0,874106;1
69;73;4;23;24;25;31;38;0;0;0,400060;0,4594;0;4;0;-1,929810;0,271347;1,662929;0,795653;1
70;1;1;4;16;23;24;25;0;0;-1,685169;-1,6258;0;4;0;-0,049033;-1,483344;0,093864;-1,931824;1
71;24;1;4;23;24;31;33;0;0;-0,498301;-0,4389;0;4;0;-0,824810;-0,351201;1,090290;-0,910881;1
72;59;4;16;23;24;25;38;0;0;-0,467655;-0,4083;0;4;0;0,004378;-0,837156;-0,243240;0,140708;1
73;22;1;4;23;24;25;33;0;0;0,495936;0,5553;0;4;0;-0,633930;0,561168;-0,230982;1,295617;1
74;70;4;16;24;31;33;38;0;0;0,229756;0,2891;0;4;0;-0,246042;-0,085896;-0,046231;0,837681;1
75;33;1;4;24;25;33;38;0;0;1,317244;1,3766;0;4;0;1,484132;2,737020;-0,642511;-0,944153;1
76;79;16;23;24;25;31;38;0;0;0,598819;0,6582;0;4;0;-0,175119;0,383423;0,667378;0,321956;1
77;31;1;4;24;25;31;33;0;0;0,370727;0,4301;0;4;0;0,780155;-1,120848;1,624403;-0,542256;1
78;68;4;16;24;25;31;38;0;0;-0,256637;-0,1973;0;4;0;-0,545495;0,631216;-0,155681;-0,443313;1
79;11;1;4;16;24;25;31;0;0;-0,142372;-0,0830;0;4;0;-0,617294;2,653839;-1,189758;-1,131531;1
80;7;1;4;16;23;25;38;0;0;0,453032;0,5124;0;4;0;-0,860709;1,230998;0,798717;-0,262941;1
81;18;1;4;16;25;31;38;0;0;-0,446641;-0,3873;0;4;0;-0,334477;-0,713697;-0,886802;1,041695;1
82;72;4;23;24;25;31;33;0;0;0,509509;0,5689;0;4;0;0,057789;1,512064;0,516776;-1,067612;1
83;51;1;23;24;25;31;33;0;0;1,457777;1,5171;0;4;0;-0,578768;2,404294;0,437097;0,652931;1
84;47;1;16;24;25;31;38;0;0;1,277843;1,3372;0;4;0;-0,786284;1,855297;1,268036;0,218636;1
85;59;7;14;15;25;26;43;0;0;-0,112951;-0,2587;1;4;0;0,032397;0,217498;0,586386;-1,062183;2
86;79;14;15;25;26;30;43;0;0;-1,671509;-1,8173;1;4;0;-0,181248;-2,362003;-0,531748;-0,268019;2
87;52;6;15;25;26;30;43;0;0;1,014376;0,8686;1;4;0;0,394017;1,258579;0,533850;-0,157695;2
88;26;6;7;15;25;32;43;0;0;-1,370305;-1,5161;1;4;0;0,046407;-2,038033;-0,960790;0,211806;2
89;54;6;15;25;30;32;43;0;0;1,415398;1,2696;1;4;0;0,731121;1,487109;0,615280;-0,002714;2
90;28;6;7;15;26;30;43;0;0;-0,162860;-0,3087;1;4;0;1,528788;-1,124788;-0,280453;-0,449267;2
91;8;6;7;14;15;30;32;0;0;0,597156;0,4514;1;4;0;0,271434;-0,399796;-0,086071;1,408744;2
92;10;6;7;14;15;32;43;0;0;0,377381;0,2316;1;4;0;0,477199;0,012609;-0,622810;0,887765;2
93;1;6;7;14;15;25;26;0;0;1,421090;1,2753;1;4;0;1,065598;0,163211;0,315827;1,297543;2
94;64;7;14;15;26;30;43;0;0;-1,588766;-1,7346;1;4;0;-1,044584;-1,412859;-0,059803;-0,660286;2
95;15;6;7;14;25;30;43;0;0;0,342357;0,1966;1;4;0;-0,559505;-0,318366;1,322760;0,239825;2
96;75;7;15;25;30;32;43;0;0;0,502153;0,3564;1;4;0;0,887853;1,297105;-0,854843;-0,325809;2
97;73;7;15;25;26;30;43;0;0;-0,713172;-0,8590;1;4;0;-2,261660;-0,657221;1,467233;0,025305;2
98;58;7;14;15;25;26;32;0;0;-0,050784;-0,1966;1;4;0;-1,540170;0,767371;0,885839;-0,214608;2
99;38;6;14;15;25;26;43;0;0;-0,327910;-0,4737;1;4;0;-1,014814;1,701630;-0,728757;-0,613879;2
100;4;6;7;14;15;25;43;0;0;-0,762205;-0,9080;1;4;0;-1,341411;-0,708006;0,612653;-0,087647;2
101;74;7;15;25;26;32;43;0;0;0,975850;0,8301;1;4;0;1,887781;0,555477;0,375367;-0,866926;2
102;53;6;15;25;26;32;43;0;0;1,981032;1,8352;1;4;0;0,965780;2,540449;0,339468;0,116366;2
103;49;6;14;25;30;32;43;0;0;-1,615471;-1,7613;1;4;0;-0,212769;-0,521504;-1,701542;-0,795127;2
104;18;6;7;14;26;30;43;0;0;0,561256;0,4155;1;4;0;-0,056914;-0,452332;-0,034411;1,666168;2
105;42;6;14;15;26;30;32;0;0;-0,267494;-0,4133;1;4;0;0,400147;-0,638834;0,034761;-0,331062;2
106;77;7;25;26;30;32;43;0;0;1,918865;1,7731;1;4;0;0,930757;-0,688742;1,523271;2,072444;2
107;72;7;15;25;26;30;32;0;0;-0,074863;-0,2207;1;4;0;-2,311569;0,487181;0,884963;0,789699;2
108;69;7;14;25;26;32;43;0;0;0,595842;0,4500;1;4;0;-0,436046;0,865437;-0,877608;1,639901;2
109;12;6;7;14;25;26;32;0;0;0,023641;-0,1222;1;4;0;0,302080;-0,188778;-1,368817;1,302797;2
110;82;14;15;26;30;32;43;0;0;-1,049400;-1,1952;1;4;0;-1,049838;0,396994;-2,350358;0,904401;2
111;17;6;7;14;26;30;32;0;0;0,851953;0,7062;1;4;0;-0,675083;0,700826;1,036441;0,641723;2
112;68;7;14;25;26;30;43;0;0;-0,619921;-0,7657;1;4;0;-1,504271;-0,695747;0,280803;0,679374;2
113;70;7;14;25;30;32;43;0;0;1,827803;1,6820;1;4;0;-0,256549;-0,775426;2,302550;2,385031;2
114;60;7;14;15;25;30;32;0;0;-1,864578;-2,0104;1;4;0;-0,007005;-2,631686;-0,002889;-1,087576;2
115;61;7;14;15;25;30;43;0;0;1,532290;1,3865;1;4;0;1,164540;0,423262;0,554864;0,921913;2
116;55;6;15;26;30;32;43;0;0;0,705291;0,5595;1;4;0;0,586648;1,014288;1,834107;-2,024462;2
117;47;6;14;25;26;30;43;0;0;-0,369063;-0,5149;1;4;0;0,267056;-0,113477;-0,289209;-0,602496;2
118;9;6;7;14;15;30;43;0;0;-0,580957;-0,7268;1;4;0;-0,124334;-0,559155;-0,510734;0,032309;2
119;6;6;7;14;15;26;32;0;0;1,178550;1,0328;1;4;0;0,044655;1,246321;-0,234046;1,300170;2
120;2;6;7;14;15;25;30;0;0;0,180372;0,0346;1;4;0;-0,172492;-0,042554;-0,327735;0,903526;2
121;48;6;14;25;26;32;43;0;0;0,517914;0,3721;1;4;0;0,889604;-0,642336;0,900724;-0,112164;2
122;80;14;15;25;26;32;43;0;0;-1,719230;-1,8650;1;4;0;-2,665309;-0,903263;-1,297018;1,427131;2
123;32;6;7;25;26;30;43;0;0;1,360673;1,2149;1;4;0;1,349291;1,699879;0,457673;-0,785496;2
124;71;7;14;26;30;32;43;0;0;0,334477;0,1887;1;4;0;-0,075301;0,510822;-0,660461;0,893894;2
125;21;6;7;15;25;26;30;0;0;-0,280628;-0,4264;1;4;0;2,133823;-2,164119;-0,179760;-0,351201;2
126;43;6;14;15;26;30;43;0;0;0,635244;0,4894;1;4;0;0,066545;0,960877;-1,119272;1,362337;2
127;46;6;14;25;26;30;32;0;0;-1,353231;-1,4990;1;4;0;0,154980;-2,708739;0,166100;-0,318804;2
128;62;7;14;15;25;32;43;0;0;0,775339;0,6295;1;4;0;-0,316965;-0,115228;0,900724;1,082147;2
129;56;6;25;26;30;32;43;0;0;-0,393142;-0,5389;1;4;0;-1,171545;0,272660;0,750997;-0,638396;2
130;19;6;7;14;26;32;43;0;0;-1,622476;-1,7683;1;4;0;-1,537544;-0,743905;-0,504605;-0,458899;2
131;57;7;14;15;25;26;30;0;0;-0,355929;-0,5017;1;4;0;0,900987;-0,850727;0,516338;-1,278455;2
132;44;6;14;15;26;32;43;0;0;1,486760;1,3410;1;4;0;-0,173368;0,597506;1,663367;0,886014;2
133;37;6;14;15;25;26;32;0;0;-0,657571;-0,8034;1;4;0;-1,110254;-0,344634;-0,540504;0,680249;2
