# elotto v3 mode=649 focus=off score=high items=8000/8000 ranked=7834 excl=166 void=0 blocks=52 paused_ms=0 pass_mean=-0,000000 pass_sigma=1,001305 pass_chi2=7853,4627 pass_stouffer=-0,0000 v_eff=1,0127 null_flags=0 flush_timeouts=0 drift_t=0.10 unlimited=on runs_cap=500 rounds=18 run_s=2,00 run_segs=52174 gap_s=0,80
# nodes=master,192.168.178.103,192.168.178.155,192.168.178.145
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round
1;381;13;15;22;29;33;46;0;0;2,072133;1,8542;0;4;0;0,212365;1,162681;1,911776;0,857445;1
2;266;7;13;15;22;43;47;0;0;-0,161719;-0,3796;0;4;0;-0,178931;-0,318299;-2,020373;2,194166;1
3;375;7;29;33;41;46;47;0;0;0,873171;0,6553;0;4;0;-1,435163;1,046282;1,642451;0,492772;1
4;92;6;7;22;29;33;41;0;0;1,139711;0,9218;0;4;0;-0,320095;0,891498;1,116183;0,591835;1
5;50;6;7;13;33;43;46;0;0;0,763893;0,5460;0;4;0;1,246945;-1,197476;0,838809;0,639508;1
6;324;7;15;22;29;33;43;0;0;-0,080612;-0,2985;0;4;0;0,013621;-0,197567;-0,722040;0,744762;1
7;119;6;7;29;41;43;47;0;0;1,227938;1,0100;0;4;0;1,557134;-0,417361;0,987402;0,328701;1
8;59;6;7;15;22;29;43;0;0;-0,907471;-1,1254;0;4;0;-0,135591;0,030895;-0,243445;-1,466801;1
9;1;6;7;13;15;22;29;0;0;-0,174412;-0,3923;0;4;0;0,236511;-0,228524;0,700741;-1,057551;1
10;331;7;15;22;29;43;47;0;0;0,118441;-0,0995;0;4;0;1,365820;0,089094;-1,551066;0,333035;1
11;87;6;7;15;33;46;47;0;0;-0,279974;-0,4979;0;4;0;-0,247036;1,453057;-0,850201;-0,915768;1
12;307;7;13;22;43;46;47;0;0;-0,980530;-1,1984;0;4;0;-0,523791;-0,055165;-0,754854;-0,627249;1
13;305;7;13;22;41;43;47;0;0;0,733556;0,5157;0;4;0;-0,481690;2,131013;-0,447761;0,265549;1
14;196;6;13;41;43;46;47;0;0;1,212459;0,9946;0;4;0;0,726869;-0,006253;1,821382;-0,117079;1
15;421;13;22;29;41;43;47;0;0;0,121846;-0,0961;0;4;0;0,111445;1,180016;0,114417;-1,162185;1
16;35;6;7;13;22;43;47;0;0;1,054888;0,8370;0;4;0;-0,665574;1,142868;0,625825;1,006658;1
17;338;7;15;22;33;46;47;0;0;-0,120856;-0,3388;0;4;0;-0,040863;1,129247;-0,444046;-0,886049;1
18;69;6;7;15;22;43;46;0;0;-1,258213;-1,4761;0;4;0;-0,654430;-1,578246;-0,105377;-0,178374;1
19;367;7;22;29;43;46;47;0;0;0,357119;0,1392;0;4;0;1,071729;-0,665017;1,232581;-0,925055;1
20;304;7;13;22;41;43;46;0;0;0,305731;0,0878;0;4;0;-1,820268;1,471631;0,514380;0,445718;1
21;48;6;7;13;33;41;46;0;0;-0,730707;-0,9486;0;4;0;-0,471784;0,030276;-0,661983;-0,357924;1
22;223;6;15;29;41;43;46;0;0;-1,390710;-1,6086;0;4;0;-0,714486;-2,090893;0,656782;-0,632822;1
23;212;6;15;22;33;46;47;0;0;0,199858;-0,0180;0;4;0;0,676099;-0,149274;-0,544966;0,417857;1
24;347;7;15;29;33;43;47;0;0;0,511594;0,2937;0;4;0;0,227224;0,799865;0,151565;-0,155466;1
25;339;7;15;22;41;43;46;0;0;-0,489244;-0,7071;0;4;0;-0,248275;-0,276198;-0,164196;-0,289819;1
26;21;6;7;13;15;46;47;0;0;1,107825;0,8899;0;4;0;0,751634;0,455005;-0,126428;1,135438;1
27;325;7;15;22;29;33;46;0;0;0,955826;0,7379;0;4;0;-0,251989;0,481628;1,214626;0,467388;1
28;301;7;13;22;33;43;46;0;0;0,171996;-0,0459;0;4;0;0,502741;2,093865;-2,218498;-0,034115;1
29;148;6;13;15;29;41;47;0;0;-0,771880;-0,9898;0;4;0;0,728107;-0,367211;-1,463149;-0,441508;1
30;449;15;22;41;43;46;47;0;0;-0,054299;-0,2722;0;4;0;1,110735;-1,976972;0,897008;-0,139368;1
31;166;6;13;22;29;41;43;0;0;-0,335387;-0,5533;0;4;0;-0,188837;-1,885339;0,970686;0,432716;1
32;441;15;22;29;41;43;46;0;0;0,850882;0,6330;0;4;0;0,160357;0,676038;-0,109711;0,975081;1
