# elotto v3 mode=649 focus=off score=high items=6258/6468 ranked=6210 excl=48 void=0 blocks=40 paused_ms=0 pass_mean=-0,000810 pass_sigma=0,996517 pass_chi2=6165,8305 pass_stouffer=-0,0638 v_eff=1,0062 null_flags=0 drift_t=2.54 unlimited=on runs_cap=500 rounds=14 run_s=2,00 run_segs=52174 gap_s=0,80
# nodes=master,192.168.178.145,192.168.178.103,192.168.178.155
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round
1;97;3;5;23;24;26;40;0;0;0,278148;0,3768;0;4;0;0,803642;-0,089342;2,493024;-2,651028;1
2;247;3;24;25;26;38;40;0;0;-0,406310;-0,3077;0;4;0;1,090303;-1,154260;0,579266;-1,327929;1
3;334;5;22;23;25;26;40;0;0;1,209642;1,3083;0;4;0;0,772685;-0,500450;1,351332;0,795717;1
4;14;3;5;13;22;25;40;0;0;0,307867;0,4065;0;4;0;1,359629;0,100734;-0,025013;-0,819616;1
5;32;3;5;13;23;26;40;0;0;-0,680589;-0,5820;0;4;0;0,254466;-0,747486;-0,290005;-0,578152;1
6;172;3;13;23;25;26;38;0;0;-0,408167;-0,3096;0;4;0;-1,482837;0,204130;0,113055;0,349318;1
7;394;13;22;23;25;40;41;0;0;-0,147510;-0,0489;0;4;0;-0,051389;-0,499831;2,180978;-1,924778;1
8;233;3;23;24;25;26;40;0;0;-0,540973;-0,4424;0;4;0;-0,411108;-0,748724;1,066528;-0,988641;1
9;110;3;5;23;26;40;41;0;0;0,151844;0,2505;0;4;0;2,203515;-0,349380;-1,161133;-0,389314;1
10;448;22;23;25;38;40;41;0;0;1,197259;1,2959;0;4;0;0,566512;1,948244;1,584747;-1,704984;1
11;399;13;22;24;25;26;38;0;0;-0,175991;-0,0774;0;4;0;1,941000;-0,504165;-1,411265;-0,377551;1
12;261;5;13;22;23;25;41;0;0;-0,650869;-0,5523;0;4;0;-0,382009;0,311241;-0,396496;-0,834475;1
13;31;3;5;13;23;26;38;0;0;-0,017181;0,0814;0;4;0;1,485933;-0,931370;1,658425;-2,247350;1
14;187;3;13;24;25;40;41;0;0;1,357926;1,4565;0;4;0;1,443831;0,042535;1,173020;0,056465;1
15;424;13;23;25;26;38;40;0;0;0,105408;0,2040;0;4;0;1,025913;-1,115874;0,377427;-0,076649;1
16;385;13;22;23;24;26;41;0;0;0,445934;0,5445;0;4;0;-0,086060;0,381204;2,129589;-1,532864;1
17;304;5;13;23;26;38;40;0;0;-1,159492;-1,0609;0;4;0;0,284804;-1,839647;-1,057117;0,292976;1
18;42;3;5;13;24;26;40;0;0;-0,019348;0,0793;0;4;0;-1,290904;0,738447;-1,084359;1,598121;1
19;85;3;5;22;25;38;40;0;0;1,320159;1,4188;0;4;0;0,609232;1,573046;2,060246;-1,602207;1
20;59;3;5;22;23;24;38;0;0;2,038669;2,1373;0;4;0;1,596759;-0,234220;0,696902;2,017897;1
21;298;5;13;23;25;26;38;0;0;1,404052;1,5027;0;4;0;1,570136;-0,047240;1,468349;-0,183141;1
22;196;3;13;26;38;40;41;0;0;0,245334;0,3439;0;4;0;1,479122;0,432592;-1,047211;-0,373836;1
23;255;5;13;22;23;24;38;0;0;0,514040;0,6126;0;4;0;0,889083;-0,227410;0,558835;-0,192428;1
24;220;3;22;24;25;38;40;0;0;0,331703;0,4303;0;4;0;1,381298;-0,215646;0,008420;-0,510666;1
25;158;3;13;22;26;38;40;0;0;-0,596385;-0,4978;0;4;0;-1,145406;0,423305;0,181160;-0,651829;1
26;155;3;13;22;25;38;40;0;0;-0,104170;-0,0056;0;4;0;0,236511;1,825035;-1,928245;-0,341641;1
27;420;13;23;24;26;38;40;0;0;0,678421;0,7770;0;4;0;-0,316999;1,067209;1,013282;-0,406650;1
28;391;13;22;23;25;26;41;0;0;-1,180233;-1,0816;0;4;0;-2,073495;-0,349999;-0,651582;0,714610;1
29;454;22;24;26;38;40;41;0;0;0,399809;0,4984;0;4;0;-1,821506;0,405350;2,648428;-0,432654;1
30;285;5;13;22;26;38;41;0;0;0,780889;0,8795;0;4;0;1,250660;0,690154;1,974186;-2,353222;1
31;171;3;13;23;24;40;41;0;0;0,440362;0,5390;0;4;0;0,060056;-0,369192;1,714766;-0,524906;1
32;441;22;23;24;26;38;40;0;0;-0,688018;-0,5894;0;4;0;-1,729254;1,353251;-0,665203;-0,334830;1
33;4;3;5;13;22;23;38;0;0;-0,672849;-0,5742;0;4;0;-1,528034;-0,201406;1,172401;-0,788659;1
34;56;3;5;13;38;40;41;0;0;1,270937;1,3695;0;4;0;0,593135;-0,308517;1,520357;0,736899;1
35;243;3;23;25;26;38;41;0;0;-0,440053;-0,3414;0;4;0;0,056342;-1,044673;1,112964;-1,004738;1
36;192;3;13;25;26;38;40;0;0;-0,992324;-0,8937;0;4;0;-1,091542;-0,748724;-1,006967;0,862584;1
37;438;22;23;24;25;38;40;0;0;-0,981799;-0,8832;0;4;0;0,567131;0,255519;0,222023;-3,008271;1
38;208;3;22;23;25;26;40;0;0;0,170727;0,2693;0;4;0;-0,509551;0,291429;1,490019;-0,930442;1
39;382;13;22;23;24;25;41;0;0;0,736001;0,8346;0;4;0;0,610471;0,822650;-0,754359;0,793240;1
40;231;3;22;26;38;40;41;0;0;-1,818565;-1,7200;0;4;0;-0,339907;-0,572889;0,396620;-3,120954;1
41;248;3;24;25;26;38;41;0;0;-0,156178;-0,0576;0;4;0;0,594992;0,199796;0,441198;-1,548342;1
42;102;3;5;23;25;26;38;0;0;0,288673;0,3873;0;4;0;1,452499;-0,299849;0,463487;-1,038791;1
43;389;13;22;23;25;26;38;0;0;-1,393527;-1,2949;0;4;0;-0,180788;-1,624806;0,234406;-1,215865;1
44;257;5;13;22;23;24;41;0;0;-3,286233;-3,1876;0;4;0;-0,967714;-0,693621;-2,133180;-2,777951;1
45;449;22;23;26;38;40;41;0;0;1,590722;1,6893;0;4;0;0,234654;0,541561;1,969232;0,435997;1
46;416;13;23;24;25;26;41;0;0;0,289292;0,3879;0;4;0;0,326905;0,687677;0,356376;-0,792374;1
47;50;3;5;13;25;38;40;0;0;-1,371856;-1,2732;0;4;0;-0,972048;-0,891126;0,149584;-1,030123;1
48;165;3;13;23;24;25;41;0;0;0,663562;0,7622;0;4;0;2,095165;0,317432;-0,837942;-0,247532;1
49;269;5;13;22;24;25;38;0;0;0,059283;0,1579;0;4;0;-0,529364;-0,239173;1,287561;-0,400459;1
50;235;3;23;24;25;38;40;0;0;0,321488;0,4201;0;4;0;0,450114;-0,729531;0,627559;0,294834;1
51;410;13;22;25;26;38;41;0;0;-0,537877;-0,4393;0;4;0;-0,751015;0,166982;0,914839;-1,406559;1
52;89;3;5;22;26;38;41;0;0;0,584003;0,6826;0;4;0;-0,762160;-0,322757;1,301801;0,951121;1
53;387;13;22;23;24;38;41;0;0;-1,071265;-0,9727;0;4;0;0,638951;-2,112687;-0,381637;-0,287157;1
54;439;22;23;24;25;38;41;0;0;-0,881499;-0,7829;0;4;0;0,690959;-0,272607;-0,748786;-1,432563;1
55;54;3;5;13;26;38;41;0;0;-0,925148;-0,8265;0;4;0;0,042101;-0,059623;0,235644;-2,068418;1
56;435;22;23;24;25;26;38;0;0;1,478658;1,5773;0;4;0;-0,193790;-0,270130;2,658953;0,762284;1
