# elotto v3 mode=649 focus=off score=high items=7354/7560 ranked=7354 excl=0 void=0 blocks=35 paused_ms=0 pass_mean=0,000000 pass_sigma=1,004056 pass_chi2=7412,7720 pass_stouffer=0,0000 v_eff=1,0130 null_flags=0 flush_timeouts=0 drift_t=0.85 unlimited=on runs_cap=210 rounds=36 run_s=1,50 run_segs=39130 gap_s=0,60 compacted=0 ent_w=0,600 ent_win=38 ent_h0=0,99789939 ent_sd=0,00013085 ent_n=7354 ent_clamp=0 rank_mean=-0,000000 rank_sigma=0,994261 fw=3b4d8ed/5cba7061d053abab
# nodes=master,192.168.178.155,192.168.178.103,192.168.178.145
# fw_nodes=5cba7061d053abab,a0a5d77e03fcb942,a0a5d77e03fcb942,a0a5d77e03fcb942
group;rank;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_std;z_ctr;block;k;zh_ctr;key
high;1;57;1;11;27;34;38;47;0;0;1,196605;3,5169;1,6792;24;4;-3,0830;3,4967
high;2;175;14;24;27;46;48;49;0;0;1,943057;3,3700;2,0648;1;4;-2,6504;3,3506
high;3;145;3;7;14;26;40;48;0;0;1,280965;3,3237;1,3973;6;4;-3,0401;3,3046
high;4;183;16;21;26;27;36;37;0;0;0,775371;3,2870;0,8755;17;4;-3,3442;3,2682
high;5;6;10;11;15;19;26;33;0;0;2,420948;3,2163;1,9748;16;4;-2,5268;3,1979
low;1;179;13;29;32;35;39;46;0;0;-3,133514;-4,0344;-2,6441;8;4;3,0582;-4,0113
low;2;87;3;16;17;37;38;40;0;0;-3,452477;-3,5522;-1,9329;2;4;2,9561;-3,5318
low;3;158;6;17;31;36;39;47;0;0;-1,915497;-3,4685;-1,4859;4;4;3,1541;-3,4486
low;4;27;2;3;7;25;26;40;0;0;-0,369437;-3,2986;-0,2531;6;4;3,7730;-3,2797
low;5;6;10;13;17;20;26;28;0;0;-0,219946;-3,1984;-0,7203;12;4;3,3417;-3,1800
zero;1;94;2;9;29;30;41;43;0;0;-1,088401;0,0002;-0,6558;25;4;-0,4374;0,0002
zero;2;207;13;19;33;36;39;48;0;0;-0,693870;-0,0006;-0,2682;18;4;-0,1781;-0,0006
zero;3;130;11;13;21;33;35;46;0;0;-1,453298;-0,0007;0,4931;27;4;0,3296;-0,0007
zero;4;119;1;11;27;34;35;47;0;0;0,088686;-0,0010;0,4496;15;4;0,3010;-0,0010
zero;5;167;13;17;21;34;46;47;0;0;0,265880;-0,0012;-0,1507;29;4;-0,0991;-0,0012
