# elotto v3 mode=649 focus=off score=high items=346/5005 ranked=273 excl=73 void=0 blocks=4 paused_ms=0 pass_mean=0,000000 pass_sigma=1,022620 pass_chi2=284,4443 pass_stouffer=0,0000 v_eff=1,0201 null_flags=0 flush_timeouts=0 drift_t=0.00 unlimited=off runs_cap=100 rounds=1 run_s=1,50 run_segs=39130 gap_s=0,60 compacted=0 ent_w=0,600 ent_win=38 ent_h0=0,99789939 ent_sd=0,00013085 ent_n=273 ent_clamp=2 rank_mean=-0,022111 rank_sigma=3,201801 fw=3b4d8ed/5cba7061d053abab
# nodes=master,192.168.178.155,192.168.178.145,192.168.178.103
# fw_nodes=5cba7061d053abab,a0a5d77e03fcb942,a0a5d77e03fcb942,37175acddd1aa225
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round;zh_ctr;key;h0;h1;h2;h3
1;3088;4;23;25;32;38;43;0;0;1,667323;1,6320;0;4;0;0,679178;2,691690;0,687519;-0,723742;1;-1,2777;1,9684;1,4663;-0,3100;-0,2112;-206,7899
2;813;3;10;14;25;28;39;0;0;-1,909443;-1,9448;0;4;0;0,905809;0,604826;-1,455824;-3,873698;1;8,5547;-8,1967;1,6709;-0,5864;-1,3986;-185,8659
3;1336;3;14;23;25;26;39;0;0;-0,592196;-0,6275;0;4;0;1,088830;1,886685;-2,310159;-1,849748;1;-0,0647;-0,2942;-1,5118;0,0706;-1,1932;-200,7843
4;2995;4;16;26;32;36;43;0;0;-0,570390;-0,6057;0;4;0;-0,007864;1,381234;-1,040453;-1,473697;1;-4,0057;2,9970;-0,2320;0,9450;1,6202;-213,6341
5;3635;10;16;23;25;28;38;0;0;0,064105;0,0288;0;4;0;0,827882;0,948705;-0,305511;-1,342866;1;-4,0354;3,3736;-0,4154;0,4615;1,9085;-213,3148
6;4966;25;27;28;38;39;43;0;0;-1,079416;-1,1148;0;4;0;-0,930117;0,025737;-0,187548;-1,066905;1;3,4519;-3,4905;-0,5596;-0,6097;-1,3814;-193,8348
7;2741;4;14;25;28;32;43;0;0;1,996903;1,9616;0;4;0;1,432708;2,314210;0,820495;-0,573608;1;4,6379;-2,7709;-0,2215;-0,5802;-0,8581;-192,3539
8;557;3;4;23;27;28;38;0;0;-0,000953;-0,0363;0;4;0;-0,055049;0,816444;-0,685136;-0,078165;1;-3,0000;2,4760;-0,0979;-2,9554;-0,1609;-206,0751
9;1940;3;25;28;36;39;43;0;0;1,299851;1,2645;0;4;0;1,409116;1,715818;-0,670837;0,145606;1;6,2169;-4,4714;2,0702;-0,0383;2,2766;-195,1641
10;2508;4;14;16;23;26;32;0;0;-1,261365;-1,2967;0;4;0;-0,295979;-1,362646;-0,773072;-0,091034;1;-2,4255;1,2989;0,7142;0,7341;-0,6961;-208,8926
11;3200;4;25;27;28;32;38;0;0;2,383319;2,3480;0;4;0;1,410546;1,851654;1,148645;0,355794;1;7,9830;-5,3398;0,4451;-0,9055;-1,1791;-185,6840
12;581;3;4;23;32;36;39;0;0;1,347751;1,3124;0;4;0;0,744951;1,455586;0,681799;-0,186834;1;-3,1826;3,3760;0,7155;1,2295;-0,2558;-211,3437
13;2201;4;10;16;23;38;39;0;0;1,087877;1,0525;0;4;0;0,132261;2,033245;-1,301401;1,311648;1;-4,0748;3,9742;0,7422;0,1709;-0,5107;-211,8412
14;1791;3;23;25;28;36;38;0;0;0,843373;0,8080;0;4;0;-0,322431;0,608401;2,191005;-0,790230;1;1,9992;-1,2152;-0,0138;0,4926;-0,0128;-199,7570
15;63;3;4;10;16;23;39;0;0;1,565446;1,5301;0;4;0;0,925112;1,166756;1,003515;0,035508;1;4,1535;-2,6072;-0,1469;-0,8471;0,6359;-194,6242
16;1786;3;23;25;27;39;43;0;0;-1,638130;-1,6735;0;4;0;-0,694192;1,314746;-1,330712;-2,566102;1;-5,8187;3,9132;-0,7916;1,0472;-0,3364;-214,8458
17;4388;14;23;27;28;36;39;0;0;0,198153;0,1628;0;4;0;-0,333155;0,262377;-0,364850;0,831934;1;4,7414;-3,8548;0,4644;-1,0715;-1,9341;-191,2653
18;3265;4;26;32;36;38;43;0;0;-1,229551;-1,2649;0;4;0;-0,136551;-0,412511;-1,071195;-0,838845;1;3,9039;-3,9499;0,7521;-1,5844;-1,0950;-193,5542
19;2475;4;10;27;32;36;43;0;0;-0,131784;-0,1671;0;4;0;0,097230;-0,836461;-1,026870;1,502533;1;2,7743;-2,4010;1,7066;-0,0454;0,6064;-200,0083
20;4070;10;27;28;38;39;43;0;0;1,290915;1,2556;0;4;0;0,852905;1,842360;0,371522;-0,484957;1;0,5632;0,2279;0,5806;0,9112;-0,6777;-202,9770
21;172;3;4;10;26;28;36;0;0;0,115579;0,0802;0;4;0;0,047900;1,266131;-0,996128;-0,086744;1;3,1385;-2,5669;1,6321;0,7756;-0,1265;-199,2934
