# specdump w=1024 bins=511 windows=32 segs=32768 z=-0.521094 h_norm=0.99778943
# fold=1 exposure=16 frame=800x800 seg_per_row=2.0000 pred_bin=512.0
# raw_bias=0.494858 raw_sigma=1.0495 bias=0.499944 sigma=0.9948
bin;p
1;0,001940882
2;0,001252308
3;0,002025924
4;0,002028859
5;0,001418211
6;0,001888632
7;0,001790662
8;0,001615660
9;0,002245551
10;0,001481104
11;0,001748348
12;0,002426540
13;0,001816022
14;0,001403526
15;0,001921849
16;0,001781033
17;0,001510378
18;0,002673914
19;0,001440777
20;0,001710159
21;0,001627361
22;0,001918495
23;0,002228154
24;0,002137288
25;0,002162277
26;0,001158791
27;0,001526768
28;0,002059978
29;0,001806010
30;0,002035618
31;0,002204682
32;0,002048455
33;0,002060408
34;0,002211811
35;0,002775674
36;0,002037993
37;0,001890699
38;0,001944505
39;0,002581725
40;0,001586395
41;0,001441195
42;0,002038921
43;0,002336022
44;0,002106978
45;0,001509062
46;0,001724195
47;0,001918004
48;0,001629019
49;0,001975568
50;0,002243001
51;0,002267236
52;0,002238136
53;0,002447713
54;0,002899754
55;0,002430935
56;0,002293193
57;0,002336262
58;0,002104940
59;0,001700882
60;0,001681345
61;0,002350676
62;0,001985166
63;0,001823641
64;0,001811507
65;0,002175870
66;0,001730044
67;0,001663584
68;0,002353016
69;0,001809994
70;0,002748535
71;0,002167150
72;0,001634437
73;0,002552984
74;0,002699927
75;0,002097911
76;0,001944401
77;0,002574208
78;0,001694055
79;0,001968788
80;0,002284128
81;0,001577076
82;0,002058330
83;0,002445044
84;0,002567095
85;0,001654753
86;0,002514322
87;0,002068072
88;0,002027062
89;0,002077823
90;0,002372566
91;0,001906656
92;0,001573391
93;0,001540277
94;0,002089313
95;0,001732683
96;0,002294950
97;0,001759114
98;0,002157407
99;0,001556387
100;0,001878334
101;0,002692359
102;0,001790372
103;0,002002036
104;0,002386140
105;0,001596177
106;0,001653973
107;0,001641829
108;0,002477437
109;0,001921133
110;0,001984402
111;0,001917744
112;0,001832513
113;0,001851367
114;0,001604323
115;0,002355128
116;0,001707832
117;0,001939171
118;0,001814137
119;0,001670229
120;0,001902387
121;0,001623202
122;0,002357210
123;0,001629314
124;0,001603978
125;0,001398273
126;0,002143789
127;0,001642353
128;0,001849958
129;0,001598804
130;0,002782215
131;0,001627438
132;0,002059898
133;0,001881519
134;0,001933208
135;0,002226040
136;0,002261459
137;0,001960182
138;0,001728198
139;0,002071728
140;0,002038314
141;0,002105197
142;0,001707016
143;0,001798477
144;0,002150579
145;0,002231939
146;0,001989966
147;0,001769755
148;0,002237363
149;0,002652053
150;0,002186468
151;0,001814323
152;0,001782490
153;0,001624100
154;0,001620554
155;0,001742280
156;0,002124301
157;0,001816269
158;0,001846773
159;0,001564082
160;0,001988125
161;0,001739654
162;0,001733833
163;0,002281527
164;0,001998728
165;0,002133522
166;0,001598485
167;0,001879784
168;0,002523532
169;0,002523543
170;0,001723674
171;0,001863565
172;0,001392027
173;0,002254109
174;0,001898405
175;0,001967257
176;0,001911471
177;0,002217198
178;0,002077996
179;0,001921637
180;0,001557169
181;0,001970932
182;0,002527113
183;0,002247885
184;0,002707753
185;0,002003659
186;0,002267042
187;0,002146740
188;0,001991707
189;0,001781396
190;0,002173916
191;0,001662939
192;0,001477859
193;0,001841887
194;0,001735266
195;0,001969572
196;0,001769522
197;0,001812051
198;0,001901046
199;0,002243058
200;0,001940162
201;0,001928545
