# specdump w=1024 bins=511 windows=32 segs=32768 z=-12.325000 h_norm=0.99754702
# fold=0 exposure=64 frame=800x800 seg_per_row=4.0000 pred_bin=256.0
# raw_bias=0.497508 raw_sigma=1.0206 bias=0.497508 sigma=1.0206
bin;p
1;0,002240005
2;0,001992236
3;0,002563760
4;0,002048188
5;0,002587448
6;0,001699214
7;0,001805612
8;0,001754233
9;0,001806144
10;0,002265009
11;0,002003427
12;0,002317818
13;0,002732428
14;0,002627026
15;0,002058607
16;0,002144591
17;0,001435480
18;0,002754693
19;0,002057476
20;0,001806954
21;0,002017631
22;0,002367720
23;0,001806562
24;0,001795331
25;0,001815993
26;0,002048763
27;0,001775187
28;0,002121870
29;0,001789301
30;0,001804301
31;0,002368934
32;0,001891642
33;0,001490680
34;0,001916133
35;0,001953006
36;0,001548661
37;0,002078525
38;0,002254523
39;0,001542534
40;0,002652530
41;0,001940055
42;0,001685233
43;0,002540346
44;0,002051929
45;0,001993208
46;0,002090399
47;0,001820490
48;0,001183532
49;0,001331636
50;0,002367410
51;0,001829014
52;0,001761344
53;0,002423813
54;0,001956216
55;0,001649949
56;0,002305912
57;0,001407393
58;0,002114702
59;0,002126718
60;0,001545632
61;0,002135854
62;0,002312483
63;0,002365357
64;0,002255445
65;0,001753321
66;0,001814396
67;0,001578568
68;0,001745412
69;0,001671364
70;0,001816986
71;0,001827221
72;0,002426863
73;0,001708118
74;0,002369403
75;0,001813491
76;0,002517110
77;0,002101126
78;0,001835678
79;0,002135597
80;0,001624347
81;0,002299856
82;0,002486537
83;0,001822712
84;0,002776487
85;0,001450111
86;0,002141888
87;0,001620584
88;0,001957641
89;0,002174476
90;0,001840942
91;0,002031401
92;0,002337004
93;0,002178463
94;0,002150488
95;0,001793531
96;0,001737179
97;0,001597048
98;0,001822693
99;0,001335094
100;0,001669210
101;0,002648298
102;0,001903057
103;0,001575591
104;0,002128981
105;0,001549123
106;0,001480254
107;0,002228070
108;0,002023259
109;0,001871207
110;0,001543570
111;0,001557067
112;0,002376649
113;0,001846035
114;0,002286733
115;0,001632708
116;0,002575412
117;0,001937822
118;0,001721031
119;0,001926977
120;0,001828433
121;0,002022586
122;0,001807442
123;0,001307899
124;0,002150622
125;0,001727013
126;0,001863952
127;0,001643365
128;0,002008510
129;0,001650897
130;0,002083112
131;0,001549926
132;0,002061577
133;0,001860899
134;0,002158240
135;0,001980218
136;0,002083437
137;0,002087466
138;0,001998782
139;0,002037632
140;0,001958189
141;0,001736196
142;0,002047451
143;0,001564333
144;0,002440500
145;0,002747878
146;0,001899072
147;0,001942161
148;0,002603529
149;0,001669909
150;0,002202060
151;0,001598415
152;0,001452104
153;0,001162063
154;0,001934515
155;0,001790847
156;0,001726031
157;0,001894125
158;0,001795231
159;0,002072852
160;0,001998179
161;0,002836815
162;0,001476584
163;0,001558832
164;0,001534119
165;0,002384488
166;0,002421377
167;0,001859974
168;0,002077015
169;0,002329807
170;0,001531805
171;0,002029740
172;0,001828643
173;0,002232753
174;0,002475929
175;0,002751671
176;0,001806197
177;0,001778884
178;0,001596117
179;0,001723686
180;0,002222674
181;0,001607225
182;0,001459434
183;0,002066435
184;0,001950009
185;0,002068006
186;0,002176565
187;0,001858923
188;0,002017397
189;0,001540377
190;0,002022929
191;0,001988902
192;0,002279675
193;0,002176835
194;0,001407096
195;0,002251088
196;0,002572240
197;0,001364911
198;0,001865588
199;0,001881196
200;0,002210698
201;0,001968036
202;0,002289422
203;0,001533615
204;0,002236662
205;0,002383509
206;0,001431982
207;0,001964423
208;0,002018673
209;0,002174058
210;0,002478126
211;0,002034450
212;0,001899183
213;0,002341302
214;0,001510808
215;0,001265793
216;0,002117309
217;0,002430636
218;0,002522907
219;0,002023895
220;0,002153211
221;0,002069419
222;0,002135392
223;0,001644249
224;0,002211784
225;0,002522053
226;0,002368086
227;0,001865569
228;0,001781854
229;0,002374587
230;0,001828804
231;0,001933821
232;0,002552861
233;0,001819125
234;0,001890531
235;0,001491517
236;0,001917134
237;0,002197212
238;0,002086898
239;0,002208060
240;0,002213862
241;0,002088783
242;0,002460976
243;0,001938581
244;0,001906818
245;0,001642208
246;0,001896097
247;0,001368529
248;0,001701356
249;0,001869901
250;0,001902604
251;0,002448738
252;0,001441616
253;0,001839877
254;0,002005096
255;0,001751533
256;0,001586742
257;0,001428468
258;0,001761113
259;0,001888015
260;0,001772082
261;0,002219195
262;0,001595813
263;0,001647510
264;0,001959677
265;0,001971360
266;0,001196033
267;0,001648245
268;0,001441049
269;0,002422131
270;0,001730372
271;0,002500487
272;0,002114566
273;0,002223908
274;0,002062386
275;0,001526803
276;0,001405979
277;0,001853387
278;0,001747907
279;0,002205481
280;0,001457964
281;0,001762685
282;0,001524056
283;0,002344082
284;0,002092347
285;0,002061093
286;0,002373959
287;0,002655409
288;0,001902542
289;0,001913746
290;0,001653092
291;0,002341313
292;0,001630962
293;0,001716459
294;0,002238990
295;0,001319821
296;0,001312731
297;0,002168544
298;0,001882401
299;0,002428852
300;0,002207577
301;0,002344938
302;0,001883586
303;0,002084465
304;0,001653016
305;0,002393263
306;0,002376060
307;0,002155698
308;0,001386733
309;0,001361758
310;0,002271312
311;0,001922858
312;0,001891570
313;0,001787348
314;0,002164794
315;0,002369789
316;0,001509166
317;0,001760347
318;0,001847345
319;0,001959343
320;0,001601339
321;0,001660108
322;0,001977060
323;0,001365197
324;0,001947156
325;0,001881588
326;0,002298203
327;0,001898111
328;0,001753501
329;0,002303615
330;0,002484608
331;0,003100766
332;0,002004589
333;0,001820750
334;0,001535401
335;0,001963401
336;0,002210555
337;0,001482540
338;0,001941146
339;0,002189947
340;0,001682192
341;0,001646266
342;0,001798818
343;0,001376032
344;0,001819494
345;0,002328374
346;0,001881218
347;0,001415852
348;0,001842159
349;0,001321421
350;0,001824838
351;0,001798644
352;0,001634038
353;0,002126920
354;0,001723524
355;0,002044213
356;0,001496130
357;0,002883873
358;0,002470159
359;0,002733149
360;0,002045994
361;0,001213956
362;0,001532878
363;0,001896262
364;0,001730576
365;0,001635181
366;0,002074903
367;0,001494962
368;0,002654962
369;0,002316665
370;0,001477125
371;0,002003858
372;0,002696980
373;0,002136047
374;0,002282930
375;0,002133579
376;0,002262360
377;0,002358526
378;0,002308976
379;0,002274291
380;0,001672190
381;0,002418717
382;0,002026358
383;0,001544229
384;0,001385841
385;0,001882262
386;0,002652257
387;0,001960302
388;0,001654544
389;0,001936905
390;0,002340817
391;0,001513317
392;0,001760426
393;0,002192444
394;0,001654107
395;0,002231117
396;0,002101363
397;0,001882730
398;0,002855669
399;0,001981367
400;0,001712715
401;0,002005550
402;0,001983814
403;0,002722403
404;0,002086368
405;0,001704682
406;0,001630997
407;0,001881095
408;0,002156816
409;0,001816987
410;0,001806431
411;0,001380362
412;0,002293081
413;0,001913712
414;0,001748934
415;0,001576333
416;0,001773420
417;0,001657194
418;0,002754868
419;0,001693792
420;0,002114580
421;0,001714281
422;0,001692143
423;0,001780749
424;0,001645904
425;0,001993642
426;0,001701319
427;0,002359150
428;0,002687622
429;0,002531450
430;0,002265670
431;0,001287509
432;0,001882572
433;0,002243913
434;0,001671720
435;0,001904343
436;0,001684486
437;0,001508248
438;0,002296712
439;0,001862142
440;0,001743691
441;0,001596937
442;0,002056715
443;0,001465723
444;0,001869409
445;0,001384169
446;0,001995411
447;0,001838804
448;0,001875652
449;0,002095405
450;0,002260689
451;0,002027979
452;0,001979582
453;0,001862790
454;0,001615512
455;0,001961284
456;0,001880231
457;0,001796109
458;0,001801246
459;0,002369041
460;0,002134499
461;0,002415365
462;0,001787321
463;0,001708069
464;0,002175252
465;0,001709305
466;0,001656785
467;0,001822632
468;0,002106873
469;0,002049419
470;0,002077508
471;0,001849887
472;0,002019751
473;0,001592499
474;0,001818293
475;0,001783269
476;0,002412058
477;0,002775449
478;0,001506170
479;0,002400128
480;0,001702976
481;0,002115612
482;0,001902745
483;0,001881614
484;0,001852413
485;0,001874842
486;0,001804355
487;0,002000216
488;0,002151363
489;0,001787965
490;0,002335208
491;0,001951304
492;0,002350353
493;0,001504433
494;0,002297636
495;0,002445428
496;0,001691990
497;0,002037858
498;0,001971785
499;0,002138696
500;0,002036789
501;0,001803492
502;0,002416197
503;0,001278969
504;0,001759863
505;0,002261972
506;0,001736983
507;0,002100216
508;0,001786317
509;0,002269437
510;0,001521079
511;0,002127432
