# specdump w=1024 bins=511 windows=32 segs=32768 z=-41.602344 h_norm=0.96893171
# fold=0 exposure=128 frame=800x800 seg_per_row=4.0000 pred_bin=256.0
# raw_bias=0.491186 raw_sigma=1.8359 bias=0.491186 sigma=1.8359
bin;p
1;0,046588991
2;0,005769040
3;0,005254643
4;0,002745665
5;0,002621253
6;0,002600702
7;0,002382069
8;0,002479351
9;0,001408278
10;0,002234639
11;0,002629042
12;0,001442170
13;0,002065851
14;0,001657154
15;0,002303057
16;0,001548808
17;0,001620070
18;0,001441286
19;0,001132195
20;0,001541604
21;0,001797543
22;0,001843030
23;0,001556650
24;0,001678938
25;0,001705885
26;0,001398809
27;0,001459271
28;0,001744097
29;0,001499743
30;0,001330139
31;0,001421219
32;0,001353149
33;0,001329647
34;0,001284118
35;0,001693349
36;0,001570142
37;0,001722398
38;0,001643446
39;0,001222642
40;0,001323806
41;0,001357278
42;0,001751908
43;0,002119014
44;0,001897247
45;0,001665586
46;0,002077262
47;0,001265396
48;0,001515848
49;0,001705048
50;0,001242080
51;0,001377902
52;0,001341456
53;0,001259552
54;0,001568686
55;0,002120029
56;0,001575138
57;0,001485916
58;0,001979711
59;0,001589798
60;0,001299296
61;0,001478258
62;0,001346204
63;0,001437585
64;0,001942406
65;0,001748698
66;0,001352009
67;0,001249595
68;0,001594413
69;0,001535592
70;0,001560092
71;0,001382775
72;0,001786581
73;0,001601453
74;0,001953464
75;0,001350738
76;0,001277065
77;0,001512166
78;0,001228991
79;0,001083514
80;0,001106661
81;0,001574772
82;0,001663743
83;0,001504571
84;0,001528855
85;0,001651874
86;0,001115221
87;0,001432873
88;0,001836832
89;0,001381446
90;0,001466636
91;0,001942916
92;0,001555466
93;0,001503625
94;0,001399635
95;0,001350179
96;0,001313979
97;0,001414812
98;0,001129528
99;0,001795508
100;0,001501351
101;0,001555581
102;0,001337388
103;0,001499161
104;0,002339023
105;0,001580529
106;0,001833334
107;0,001863208
108;0,001788004
109;0,001391893
110;0,001576156
111;0,001596955
112;0,001464361
113;0,001195569
114;0,001437596
115;0,001720656
116;0,001558378
117;0,001527459
118;0,001511819
119;0,002066292
120;0,002389887
121;0,001382880
122;0,001721917
123;0,000993514
124;0,001049898
125;0,001785834
126;0,001331205
127;0,001717692
128;0,001236220
129;0,001878298
130;0,001758407
131;0,002013567
132;0,001550405
133;0,001961807
134;0,001936608
135;0,001852840
136;0,001646467
137;0,001681114
138;0,002922118
139;0,003263607
140;0,002395948
141;0,001662615
142;0,002602077
143;0,001960394
144;0,003373458
145;0,002015189
146;0,002201448
147;0,002693771
148;0,002925846
149;0,002976086
150;0,001742947
151;0,002073981
152;0,001958841
153;0,002057750
154;0,001592090
155;0,001584183
156;0,001449214
157;0,001708186
158;0,001539843
159;0,001435109
160;0,001625591
161;0,002366263
162;0,002808174
163;0,002609079
164;0,001858620
165;0,002441949
166;0,002289125
167;0,001730740
168;0,001777563
169;0,001822133
170;0,001368157
171;0,001585681
172;0,001419924
173;0,001277128
174;0,001700860
175;0,001319242
176;0,001236534
177;0,001675217
178;0,001426850
179;0,002264816
180;0,001868269
181;0,002010370
182;0,001656187
183;0,001420854
184;0,001935376
185;0,001415358
186;0,002388204
187;0,001185457
188;0,001864711
189;0,001587565
190;0,001278593
191;0,001716285
192;0,001383465
193;0,001932805
194;0,001688319
195;0,001419231
196;0,001967527
197;0,001188715
198;0,001163629
199;0,002255870
200;0,001490510
201;0,000868488
202;0,001736108
203;0,001333170
204;0,001655711
205;0,001598697
206;0,001701015
207;0,001691276
208;0,001945734
209;0,001394310
210;0,000967475
211;0,001858634
212;0,001489606
213;0,001137962
214;0,001557908
215;0,001828590
216;0,001386748
217;0,001902042
218;0,001492339
219;0,001847488
220;0,001912017
221;0,001704925
222;0,001328323
223;0,001571061
224;0,001817744
225;0,001624432
226;0,001940695
227;0,001513424
228;0,001405908
229;0,001773521
230;0,002270261
231;0,001889298
232;0,001729235
233;0,001605163
234;0,002100024
235;0,001745128
236;0,002227529
237;0,001695532
238;0,002253729
239;0,001791589
240;0,002007684
241;0,001837314
242;0,001903087
243;0,001397116
244;0,001824594
245;0,001698047
246;0,001838148
247;0,001822540
248;0,002096992
249;0,001737897
250;0,001542014
251;0,001794153
252;0,001674841
253;0,001493904
254;0,001482450
255;0,001411394
256;0,001552968
257;0,002183680
258;0,001486991
259;0,001140851
260;0,001565529
261;0,001601190
262;0,001625283
263;0,001066646
264;0,001674757
265;0,001848676
266;0,001389785
267;0,001269701
268;0,001427826
269;0,001204699
270;0,001433567
271;0,001195905
272;0,001637918
273;0,001861622
274;0,001879940
275;0,001547273
276;0,001504309
277;0,001921211
278;0,001489545
279;0,001639680
280;0,001323937
281;0,001831198
282;0,001973466
283;0,001503044
284;0,002453520
285;0,005692360
286;0,013656553
287;0,010848861
288;0,004813452
289;0,003560675
290;0,003033160
291;0,002121557
292;0,001964943
293;0,001712808
294;0,001488452
295;0,001609318
296;0,001511756
297;0,001609808
298;0,001755565
299;0,001747169
300;0,001363002
301;0,001750419
302;0,001637244
303;0,001541970
304;0,001874539
305;0,001270949
306;0,002167781
307;0,001557317
308;0,001876986
309;0,002006640
310;0,001431910
311;0,001616961
312;0,000993348
313;0,001329214
314;0,001633340
315;0,001673448
316;0,001521932
317;0,001462424
318;0,001310899
319;0,001527140
320;0,001964767
321;0,001408369
322;0,001594888
323;0,001111266
324;0,001293075
325;0,001691202
326;0,001532981
327;0,002860100
328;0,001532590
329;0,001542675
330;0,001247600
331;0,001265277
332;0,001730533
333;0,001589773
334;0,001406968
335;0,001275866
336;0,001508693
337;0,001576345
338;0,001839078
339;0,001575260
340;0,001178554
341;0,001457863
342;0,001171108
343;0,001767609
344;0,001463461
345;0,001548444
346;0,001385214
347;0,001409478
348;0,001740686
349;0,001831463
350;0,001604791
351;0,001228438
352;0,001749201
353;0,001683563
354;0,001345860
355;0,001210454
356;0,002596337
357;0,001713921
358;0,001383920
359;0,001604014
360;0,001546557
361;0,001618727
362;0,001409814
363;0,000998669
364;0,001700095
365;0,001602466
366;0,001545977
367;0,001796871
368;0,001682460
369;0,001683167
370;0,001493375
371;0,001468097
372;0,001081216
373;0,002212712
374;0,001682143
375;0,001551767
376;0,001248025
377;0,001929146
378;0,001326100
379;0,001818685
380;0,001869265
381;0,001677844
382;0,001330861
383;0,001355076
384;0,001148185
385;0,001897650
386;0,001405126
387;0,001271119
388;0,001378117
389;0,001560297
390;0,001436242
391;0,001324057
392;0,001358480
393;0,001567431
394;0,002146139
395;0,001416364
396;0,001587679
397;0,001613311
398;0,001715162
399;0,001854576
400;0,001514081
401;0,001562331
402;0,001922773
403;0,001804924
404;0,001657285
405;0,001413884
406;0,001301914
407;0,001960873
408;0,001790894
409;0,001711052
410;0,001526517
411;0,001499226
412;0,001639176
413;0,001843928
414;0,001264392
415;0,001247136
416;0,001525939
417;0,001773529
418;0,001352729
419;0,001698353
420;0,001761208
421;0,001702188
422;0,001641097
423;0,002080525
424;0,002048700
425;0,001867528
426;0,001819360
427;0,002177075
428;0,002344813
429;0,002258474
430;0,002701075
431;0,002425835
432;0,002148229
433;0,002083119
434;0,001859966
435;0,001926261
436;0,001398278
437;0,001679930
438;0,001233116
439;0,001996995
440;0,001477397
441;0,001632895
442;0,002184858
443;0,001590687
444;0,002156760
445;0,001982329
446;0,001721694
447;0,002300842
448;0,004555483
449;0,004013987
450;0,003580697
451;0,006132649
452;0,004556041
453;0,002127572
454;0,001364607
455;0,001245661
456;0,001848061
457;0,001590539
458;0,001439157
459;0,001492045
460;0,001657234
461;0,002042933
462;0,002099374
463;0,001439094
464;0,002029148
465;0,002084901
466;0,001867378
467;0,002311609
468;0,001284326
469;0,001400329
470;0,001755023
471;0,002038315
472;0,001630487
473;0,001800053
474;0,001989498
475;0,003068510
476;0,003260532
