# specdump w=1024 bins=511 windows=32 segs=32768 z=-2.535938 h_norm=0.99755964
# fold=1 exposure=64 frame=800x800 seg_per_row=2.0000 pred_bin=512.0
# raw_bias=0.499942 raw_sigma=1.0124 bias=0.499453 sigma=1.0249
bin;p
1;0,002088342
2;0,001644161
3;0,002170940
4;0,002300161
5;0,001633186
6;0,001721445
7;0,002047339
8;0,002086485
9;0,002023020
10;0,002031661
11;0,002655695
12;0,002043114
13;0,001749892
14;0,002024963
15;0,002287413
16;0,002252072
17;0,001690344
18;0,001800103
19;0,002379240
20;0,001923826
21;0,001882661
22;0,001824326
23;0,001592843
24;0,001541483
25;0,001828209
26;0,001920558
27;0,001963469
28;0,001935975
29;0,001265974
30;0,002283867
31;0,002952998
32;0,001965971
33;0,002262148
34;0,001628810
35;0,002215413
36;0,002202225
37;0,001966899
38;0,001843022
39;0,001628162
40;0,001943589
41;0,002152354
42;0,002025554
43;0,002138973
44;0,001893605
45;0,002740788
46;0,002128941
47;0,002390100
48;0,002584434
49;0,001555076
50;0,002246881
51;0,002217423
52;0,001539402
53;0,001897118
54;0,001824801
55;0,001817577
56;0,001462669
57;0,002662466
58;0,001625196
59;0,002204096
60;0,002161123
61;0,001575511
62;0,001324568
63;0,001861386
64;0,001659622
65;0,001617440
66;0,001720459
67;0,001915528
68;0,001447156
69;0,001995636
70;0,001843241
71;0,002256393
72;0,002034391
73;0,001918468
74;0,001724212
75;0,001517879
76;0,001944092
77;0,001828823
78;0,002099205
79;0,002074869
80;0,002202532
81;0,002248358
82;0,001957024
83;0,001690438
84;0,001740299
85;0,001761352
86;0,001400217
87;0,002436864
88;0,001957119
89;0,002322843
90;0,002367007
91;0,003008255
92;0,002153669
93;0,001832648
94;0,001960351
95;0,002397513
96;0,002026867
97;0,001978143
98;0,002675531
99;0,002016857
100;0,002687336
101;0,001328878
102;0,001563901
103;0,002317693
104;0,002176076
105;0,001731669
106;0,002477541
107;0,001701497
108;0,002145829
109;0,001579802
110;0,001374950
111;0,002518245
112;0,002313621
113;0,001872506
114;0,001615808
115;0,002186470
116;0,002403387
117;0,001584655
118;0,002579734
119;0,002120902
120;0,002011457
121;0,001841776
122;0,002492600
123;0,001839176
124;0,001639066
125;0,002084376
126;0,002040615
127;0,001934098
128;0,001803199
129;0,001967708
130;0,002075107
131;0,001502695
132;0,002166019
133;0,002029048
134;0,001426848
135;0,002375546
136;0,002056550
137;0,002174694
138;0,001747432
139;0,001732517
140;0,002018678
141;0,001324166
142;0,001457484
143;0,001350629
144;0,001716388
145;0,002058855
146;0,001703894
147;0,002218941
148;0,001465231
149;0,001828725
150;0,002097853
151;0,002604686
152;0,001795290
153;0,002455355
154;0,002336273
155;0,001578734
156;0,001591633
157;0,001826997
158;0,001619156
159;0,002070763
160;0,001901424
161;0,001802457
162;0,001430722
163;0,002271823
164;0,001542341
165;0,002898994
166;0,002015183
167;0,002344289
168;0,002561597
169;0,001933922
170;0,001668972
171;0,001656563
172;0,002828178
173;0,001737701
174;0,002349322
175;0,001271095
176;0,002613503
177;0,001802096
178;0,001792547
179;0,002334807
180;0,002862792
181;0,001971933
182;0,002077342
183;0,002419823
184;0,001847428
185;0,001889887
186;0,001882649
187;0,001781360
188;0,001921948
189;0,001359284
190;0,001923241
191;0,001179964
192;0,001840719
193;0,002048958
194;0,001687798
195;0,001593829
196;0,002111238
197;0,002106989
198;0,002069669
199;0,001593100
200;0,001575446
201;0,001799767
202;0,002179487
203;0,002044528
204;0,001658496
205;0,002108654
206;0,002024775
207;0,002208896
208;0,002099889
209;0,002073667
210;0,001627577
211;0,002419615
212;0,001792184
213;0,002546152
214;0,002003843
215;0,001555066
216;0,001263206
217;0,002134655
218;0,001883080
219;0,001783434
220;0,002226994
221;0,002041335
222;0,001867362
223;0,001961789
224;0,001739672
225;0,002426795
226;0,002029642
227;0,002023185
228;0,001937337
229;0,001990737
230;0,002036034
231;0,001735719
232;0,001826178
233;0,001729211
234;0,001657609
235;0,001590422
236;0,001787976
237;0,002514912
238;0,001584978
239;0,002034167
240;0,001659444
241;0,001518852
242;0,001890949
243;0,002635378
244;0,001668562
245;0,002163427
246;0,001741671
247;0,002829843
248;0,001638533
249;0,001447865
250;0,001848185
251;0,002795944
252;0,002023415
253;0,001642858
254;0,001640967
255;0,001376233
256;0,001848035
257;0,001878636
258;0,002371268
259;0,001849216
260;0,001825179
261;0,001771796
262;0,002182646
263;0,002390000
264;0,001867807
265;0,001983934
266;0,001834627
267;0,002517069
268;0,002430826
269;0,001606284
270;0,001755676
271;0,002342312
272;0,001696198
273;0,002115004
274;0,002858893
275;0,001788952
276;0,001754793
277;0,002114054
278;0,001892027
279;0,001954313
280;0,002365235
281;0,001624053
282;0,001663441
283;0,002173700
284;0,001898979
285;0,002219711
286;0,001755187
287;0,001667259
288;0,001704567
289;0,001741891
290;0,001710694
291;0,002078746
292;0,001661816
293;0,001771282
294;0,001540943
295;0,001435012
296;0,001944999
297;0,001966596
298;0,001660633
299;0,001786922
300;0,001744616
301;0,002815834
302;0,002235577
303;0,001865040
304;0,002011078
305;0,001958244
306;0,002059563
307;0,002094746
308;0,002372946
309;0,001646407
310;0,002049399
311;0,002067572
312;0,001932929
313;0,002242945
314;0,001932256
315;0,001812152
316;0,001690398
317;0,002458191
