# specdump w=1024 bins=511 windows=32 segs=32768 z=-18.089844 h_norm=0.97891909
# fold=1 exposure=128 frame=800x800 seg_per_row=2.0000 pred_bin=512.0
# raw_bias=0.494031 raw_sigma=1.7680 bias=0.496457 sigma=1.4233
bin;p
1;0,017367098
2;0,014319205
3;0,008235546
4;0,005153297
5;0,003840807
6;0,004364181
7;0,002549618
8;0,001792422
9;0,002013400
10;0,002609357
11;0,001768237
12;0,002658570
13;0,001960835
14;0,002216585
15;0,001736190
16;0,001663771
17;0,001097063
18;0,001537529
19;0,002306761
20;0,002667932
21;0,001967974
22;0,001959315
23;0,001476246
24;0,001785861
25;0,001700244
26;0,002489758
27;0,001579004
28;0,001235471
29;0,001631204
30;0,001757091
31;0,002007338
32;0,001173215
33;0,001616871
34;0,002018007
35;0,001697017
36;0,001092725
37;0,002216938
38;0,002335970
39;0,001722691
40;0,002428228
41;0,001076433
42;0,001900956
43;0,001512545
44;0,001429137
45;0,001752173
46;0,001633447
47;0,001661282
48;0,001403764
49;0,001904220
50;0,001289230
51;0,001648752
52;0,001645369
53;0,002101742
54;0,001481056
55;0,001195860
56;0,001663577
57;0,001110405
58;0,001399216
59;0,001656964
60;0,001276689
61;0,001040601
62;0,001726527
63;0,002647910
64;0,001200226
65;0,001418609
66;0,001641755
67;0,001740703
68;0,001233827
69;0,001774427
70;0,001720898
71;0,001579338
72;0,001536784
73;0,001868398
74;0,001909878
75;0,001254269
76;0,001810318
77;0,001452292
78;0,001492013
79;0,001754306
80;0,001421673
81;0,002260181
82;0,001448167
83;0,001711980
84;0,001579768
85;0,002057500
86;0,001875002
87;0,001281654
88;0,002164625
89;0,001781476
90;0,001372493
91;0,001758959
92;0,001758126
93;0,001936010
94;0,002010843
95;0,001450120
96;0,002252250
97;0,001921469
98;0,001645972
99;0,001427293
100;0,001801822
101;0,001375890
102;0,001540270
103;0,001693383
104;0,001362354
105;0,001596296
106;0,001814196
107;0,001566163
108;0,002147059
109;0,001357093
110;0,001272074
111;0,001583650
112;0,001686536
113;0,001486217
114;0,001552504
115;0,002022069
116;0,001870316
117;0,001741200
118;0,001690145
119;0,001944848
120;0,001236834
121;0,001512349
122;0,001841529
123;0,001474796
124;0,001214467
125;0,001602522
126;0,001388961
127;0,001559754
128;0,002111044
129;0,002127635
130;0,001480751
131;0,001801935
132;0,001512672
133;0,001769898
134;0,001227837
135;0,001712188
136;0,002835129
137;0,001741118
138;0,001095726
139;0,001760545
140;0,001469790
141;0,001217985
142;0,002154269
143;0,001726563
144;0,002069437
145;0,001530588
146;0,001727249
147;0,001894151
148;0,001406831
149;0,002004728
150;0,001338725
151;0,001629118
152;0,001920145
153;0,001860952
154;0,001190379
155;0,001450140
156;0,000854390
157;0,001319192
158;0,002004686
159;0,002346731
160;0,001938900
161;0,002301194
162;0,001598583
163;0,002825376
164;0,001731295
165;0,002101873
166;0,002087768
167;0,002412064
168;0,002125217
169;0,001772826
170;0,001831812
171;0,001631893
172;0,001642111
173;0,001238941
174;0,001811794
175;0,001294305
176;0,001428132
177;0,001706870
178;0,001576714
179;0,001097507
180;0,001534922
181;0,001632985
182;0,001959957
183;0,002088562
184;0,001616896
185;0,002073643
186;0,001757067
187;0,001745086
188;0,001255123
189;0,001235858
190;0,002300187
191;0,001144969
192;0,001926546
193;0,001935371
194;0,002164144
195;0,001409966
196;0,001699944
197;0,001970885
198;0,002215156
199;0,001158249
200;0,001592124
201;0,002190407
202;0,002110619
203;0,001740790
204;0,001975345
205;0,001486990
206;0,001497524
207;0,001929570
208;0,001937615
209;0,001369000
210;0,001429521
211;0,001450612
212;0,001613531
213;0,001430619
214;0,002429700
215;0,001382523
216;0,001576810
217;0,002058993
218;0,001628163
219;0,001989338
220;0,002539766
221;0,001237658
222;0,001620455
223;0,001699378
224;0,001628316
225;0,001552440
226;0,001775312
227;0,001788083
228;0,001452487
229;0,001561714
230;0,001377239
231;0,001955209
232;0,001736470
233;0,001060527
234;0,001593519
235;0,001769118
236;0,000930288
237;0,001715652
238;0,001735764
239;0,001417161
240;0,001734044
241;0,001159459
242;0,001586162
243;0,001493854
244;0,001306386
245;0,001502262
246;0,001294634
247;0,001506601
248;0,001128897
249;0,001638688
250;0,001380531
251;0,002098968
252;0,001442790
253;0,001427869
254;0,001701103
255;0,002006050
256;0,001156517
257;0,002651500
258;0,001827876
259;0,001114065
260;0,001515887
261;0,001411975
262;0,001855789
263;0,001374028
264;0,001475254
265;0,001349450
266;0,001450117
267;0,001506945
268;0,001809610
269;0,001704482
270;0,001232081
271;0,002013741
272;0,001394015
273;0,001376685
